 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 4.759840E+01, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift=-6.975736996017262E-16
 #      Coulomb phase shift=-4.819805794081041E+00  (ETA=-5.750442E+00)
 #      Matching radius: RAD(  295)= 1.176047041881680E-02
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  4.19160356E-03 -8.96312975E-04
   8.00032001E-05  7.87181927E-03 -1.68471331E-03
   1.20004800E-04  1.13694310E-02 -2.43535146E-03
   1.60006400E-04  1.47473849E-02 -3.16162650E-03
   2.00008000E-04  1.80346963E-02 -3.86970297E-03
   2.40009600E-04  2.12481369E-02 -4.56313712E-03
   2.80011200E-04  2.43986436E-02 -5.24424330E-03
   3.20012801E-04  2.74939152E-02 -5.91464714E-03
   3.60014401E-04  3.05396664E-02 -6.57555276E-03
   4.00016001E-04  3.35403094E-02 -7.22788764E-03
   4.40017601E-04  3.64993551E-02 -7.87238812E-03
   4.80019201E-04  3.94196655E-02 -8.50965288E-03
   5.20020801E-04  4.23036193E-02 -9.14017834E-03
   5.60022401E-04  4.51532262E-02 -9.76438282E-03
   6.00024001E-04  4.79702078E-02 -1.03826237E-02
   6.40025601E-04  5.07560563E-02 -1.09952098E-02
   6.80027201E-04  5.35120781E-02 -1.16024109E-02
   7.20028801E-04  5.62394275E-02 -1.22044646E-02
   7.60030401E-04  5.89391322E-02 -1.28015818E-02
   8.00032001E-04  6.16121140E-02 -1.33939511E-02
   8.40033601E-04  6.42592046E-02 -1.39817422E-02
   8.80035201E-04  6.68811586E-02 -1.45651087E-02
   9.20036801E-04  6.94786646E-02 -1.51441900E-02
   9.60038402E-04  7.20523533E-02 -1.57191137E-02
   1.00004000E-03  7.46028054E-02 -1.62899968E-02
   1.04004160E-03  7.71305574E-02 -1.68569469E-02
   1.08004320E-03  7.96361065E-02 -1.74200636E-02
   1.12004480E-03  8.21199156E-02 -1.79794391E-02
   1.16004640E-03  8.45824164E-02 -1.85351594E-02
   1.20004800E-03  8.70240131E-02 -1.90873045E-02
   1.24004960E-03  8.94450850E-02 -1.96359492E-02
   1.28005120E-03  9.18459887E-02 -2.01811637E-02
   1.32005280E-03  9.42270606E-02 -2.07230140E-02
   1.36005440E-03  9.65886186E-02 -2.12615621E-02
   1.40005600E-03  9.89309637E-02 -2.17968667E-02
   1.44005760E-03  1.01254381E-01 -2.23289832E-02
   1.48005920E-03  1.03559143E-01 -2.28579639E-02
   1.52006080E-03  1.05845508E-01 -2.33838588E-02
   1.56006240E-03  1.08113721E-01 -2.39067149E-02
   1.60006400E-03  1.10364018E-01 -2.44265775E-02
   1.64006560E-03  1.12596626E-01 -2.49434893E-02
   1.68006720E-03  1.14811758E-01 -2.54574913E-02
   1.72006880E-03  1.17009622E-01 -2.59686227E-02
   1.76007040E-03  1.19190417E-01 -2.64769208E-02
   1.80007200E-03  1.21354334E-01 -2.69824216E-02
   1.84007360E-03  1.23501557E-01 -2.74851593E-02
   1.88007520E-03  1.25632263E-01 -2.79851672E-02
   1.92007680E-03  1.27746622E-01 -2.84824769E-02
   1.96007840E-03  1.29844801E-01 -2.89771189E-02
   2.00008000E-03  1.31926958E-01 -2.94691227E-02
   2.04008160E-03  1.33993248E-01 -2.99585166E-02
   2.08008320E-03  1.36043820E-01 -3.04453279E-02
   2.12008480E-03  1.38078820E-01 -3.09295832E-02
   2.16008640E-03  1.40098387E-01 -3.14113079E-02
   2.20008800E-03  1.42102658E-01 -3.18905267E-02
   2.24008960E-03  1.44091766E-01 -3.23672636E-02
   2.28009120E-03  1.46065840E-01 -3.28415416E-02
   2.32009280E-03  1.48025004E-01 -3.33133832E-02
   2.36009440E-03  1.49969381E-01 -3.37828101E-02
   2.40009600E-03  1.51899089E-01 -3.42498436E-02
   2.44009760E-03  1.53814244E-01 -3.47145041E-02
   2.48009920E-03  1.55714960E-01 -3.51768115E-02
   2.52010080E-03  1.57601345E-01 -3.56367852E-02
   2.56010240E-03  1.59473509E-01 -3.60944441E-02
   2.60010400E-03  1.61331555E-01 -3.65498066E-02
   2.64010560E-03  1.63175587E-01 -3.70028906E-02
   2.68010720E-03  1.65005705E-01 -3.74537134E-02
   2.72010880E-03  1.66822007E-01 -3.79022920E-02
   2.76011040E-03  1.68624589E-01 -3.83486431E-02
   2.80011200E-03  1.70413546E-01 -3.87927829E-02
   2.84011360E-03  1.72188969E-01 -3.92347270E-02
   2.88011520E-03  1.73950950E-01 -3.96744910E-02
   2.92011680E-03  1.75699576E-01 -4.01120899E-02
   2.96011840E-03  1.77434935E-01 -4.05475385E-02
   3.00012000E-03  1.79157112E-01 -4.09808512E-02
   3.04012160E-03  1.80866191E-01 -4.14120421E-02
   3.08012320E-03  1.82562253E-01 -4.18411250E-02
   3.12012480E-03  1.84245381E-01 -4.22681134E-02
   3.16012641E-03  1.85915652E-01 -4.26930206E-02
   3.20012801E-03  1.87573146E-01 -4.31158595E-02
   3.24012961E-03  1.89217938E-01 -4.35366430E-02
   3.28013121E-03  1.90850104E-01 -4.39553834E-02
   3.32013281E-03  1.92469719E-01 -4.43720930E-02
   3.36013441E-03  1.94076856E-01 -4.47867839E-02
   3.40013601E-03  1.95671586E-01 -4.51994677E-02
   3.44013761E-03  1.97253980E-01 -4.56101561E-02
   3.48013921E-03  1.98824109E-01 -4.60188604E-02
   3.52014081E-03  2.00382040E-01 -4.64255919E-02
   3.56014241E-03  2.01927842E-01 -4.68303614E-02
   3.60014401E-03  2.03461581E-01 -4.72331798E-02
   3.64014561E-03  2.04983323E-01 -4.76340577E-02
   3.68014721E-03  2.06493134E-01 -4.80330055E-02
   3.72014881E-03  2.07991076E-01 -4.84300334E-02
   3.76015041E-03  2.09477214E-01 -4.88251517E-02
   3.80015201E-03  2.10951610E-01 -4.92183701E-02
   3.84015361E-03  2.12414325E-01 -4.96096985E-02
   3.88015521E-03  2.13865420E-01 -4.99991465E-02
   3.92015681E-03  2.15304955E-01 -5.03867236E-02
   3.96015841E-03  2.16732990E-01 -5.07724391E-02
   4.00016001E-03  2.18149582E-01 -5.11563023E-02
   4.04016161E-03  2.19554791E-01 -5.15383223E-02
   4.08016321E-03  2.20948673E-01 -5.19185079E-02
   4.12016481E-03  2.22331284E-01 -5.22968680E-02
   4.16016641E-03  2.23702681E-01 -5.26734113E-02
   4.20016801E-03  2.25062919E-01 -5.30481464E-02
   4.24016961E-03  2.26412052E-01 -5.34210818E-02
   4.28017121E-03  2.27750135E-01 -5.37922257E-02
   4.32017281E-03  2.29077220E-01 -5.41615865E-02
   4.36017441E-03  2.30393362E-01 -5.45291722E-02
   4.40017601E-03  2.31698612E-01 -5.48949910E-02
   4.44017761E-03  2.32993021E-01 -5.52590507E-02
   4.48017921E-03  2.34276643E-01 -5.56213592E-02
   4.52018081E-03  2.35549526E-01 -5.59819242E-02
   4.56018241E-03  2.36811722E-01 -5.63407533E-02
   4.60018401E-03  2.38063280E-01 -5.66978542E-02
   4.64018561E-03  2.39304250E-01 -5.70532342E-02
   4.68018721E-03  2.40534679E-01 -5.74069007E-02
   4.72018881E-03  2.41754618E-01 -5.77588611E-02
   4.76019041E-03  2.42964113E-01 -5.81091226E-02
   4.80019201E-03  2.44163213E-01 -5.84576922E-02
   4.84019361E-03  2.45351964E-01 -5.88045770E-02
   4.88019521E-03  2.46530412E-01 -5.91497840E-02
   4.92019681E-03  2.47698605E-01 -5.94933201E-02
   4.96019841E-03  2.48856587E-01 -5.98351922E-02
   5.00020001E-03  2.50004405E-01 -6.01754069E-02
