 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: freepot.in          
 #      Free state: E= 2.384976E+03, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift= 0.000000000000000E+00  (ETA= 0.000000E+00)
 #      Matching radius: RAD(    4)= 1.200048001920000E-04
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  2.84906829E-03 -6.61163022E-07
   8.00032001E-05  5.69811346E-03 -2.64464565E-06
   1.20004800E-04  8.54711238E-03 -5.95042856E-06
   1.60006400E-04  1.13960419E-02 -1.05784795E-05
   2.00008000E-04  1.42448789E-02 -1.65287535E-05
   2.40009600E-04  1.70936003E-02 -2.38011926E-05
   2.80011200E-04  1.99421830E-02 -3.23957258E-05
   3.20012801E-04  2.27906038E-02 -4.23122695E-05
   3.60014401E-04  2.56388396E-02 -5.35507272E-05
   4.00016001E-04  2.84868672E-02 -6.61109892E-05
   4.40017601E-04  3.13346636E-02 -7.99929333E-05
   4.80019201E-04  3.41822057E-02 -9.51964243E-05
   5.20020801E-04  3.70294703E-02 -1.11721314E-04
   5.60022401E-04  3.98764344E-02 -1.29567442E-04
   6.00024001E-04  4.27230747E-02 -1.48734633E-04
   6.40025601E-04  4.55693683E-02 -1.69222702E-04
   6.80027201E-04  4.84152920E-02 -1.91031448E-04
   7.20028801E-04  5.12608226E-02 -2.14160660E-04
   7.60030401E-04  5.41059372E-02 -2.38610111E-04
   8.00032001E-04  5.69506126E-02 -2.64379564E-04
   8.40033601E-04  5.97948257E-02 -2.91468768E-04
   8.80035201E-04  6.26385535E-02 -3.19877459E-04
   9.20036801E-04  6.54817727E-02 -3.49605360E-04
   9.60038402E-04  6.83244605E-02 -3.80652182E-04
   1.00004000E-03  7.11665937E-02 -4.13017621E-04
   1.04004160E-03  7.40081491E-02 -4.46701364E-04
   1.08004320E-03  7.68491039E-02 -4.81703080E-04
   1.12004480E-03  7.96894348E-02 -5.18022431E-04
   1.16004640E-03  8.25291189E-02 -5.55659061E-04
   1.20004800E-03  8.53681331E-02 -5.94612605E-04
   1.24004960E-03  8.82064543E-02 -6.34882682E-04
   1.28005120E-03  9.10440596E-02 -6.76468901E-04
   1.32005280E-03  9.38809258E-02 -7.19370855E-04
   1.36005440E-03  9.67170300E-02 -7.63588128E-04
   1.40005600E-03  9.95523491E-02 -8.09120289E-04
   1.44005760E-03  1.02386860E-01 -8.55966893E-04
   1.48005920E-03  1.05220540E-01 -9.04127485E-04
   1.52006080E-03  1.08053366E-01 -9.53601595E-04
   1.56006240E-03  1.10885315E-01 -1.00438874E-03
   1.60006400E-03  1.13716363E-01 -1.05648843E-03
   1.64006560E-03  1.16546489E-01 -1.10990015E-03
   1.68006720E-03  1.19375668E-01 -1.16462338E-03
   1.72006880E-03  1.22203879E-01 -1.22065760E-03
   1.76007040E-03  1.25031097E-01 -1.27800225E-03
   1.80007200E-03  1.27857301E-01 -1.33665677E-03
   1.84007360E-03  1.30682467E-01 -1.39662060E-03
   1.88007520E-03  1.33506572E-01 -1.45789315E-03
   1.92007680E-03  1.36329593E-01 -1.52047382E-03
   1.96007840E-03  1.39151508E-01 -1.58436200E-03
   2.00008000E-03  1.41972293E-01 -1.64955707E-03
   2.04008160E-03  1.44791926E-01 -1.71605840E-03
   2.08008320E-03  1.47610384E-01 -1.78386534E-03
   2.12008480E-03  1.50427643E-01 -1.85297722E-03
   2.16008640E-03  1.53243681E-01 -1.92339337E-03
   2.20008800E-03  1.56058476E-01 -1.99511311E-03
   2.24008960E-03  1.58872003E-01 -2.06813573E-03
   2.28009120E-03  1.61684241E-01 -2.14246054E-03
   2.32009280E-03  1.64495167E-01 -2.21808679E-03
   2.36009440E-03  1.67304757E-01 -2.29501376E-03
   2.40009600E-03  1.70112990E-01 -2.37324069E-03
   2.44009760E-03  1.72919841E-01 -2.45276682E-03
   2.48009920E-03  1.75725289E-01 -2.53359138E-03
   2.52010080E-03  1.78529310E-01 -2.61571358E-03
   2.56010240E-03  1.81331883E-01 -2.69913262E-03
   2.60010400E-03  1.84132983E-01 -2.78384768E-03
   2.64010560E-03  1.86932589E-01 -2.86985794E-03
   2.68010720E-03  1.89730677E-01 -2.95716257E-03
   2.72010880E-03  1.92527225E-01 -3.04576070E-03
   2.76011040E-03  1.95322211E-01 -3.13565148E-03
   2.80011200E-03  1.98115611E-01 -3.22683403E-03
   2.84011360E-03  2.00907403E-01 -3.31930746E-03
   2.88011520E-03  2.03697564E-01 -3.41307087E-03
   2.92011680E-03  2.06486071E-01 -3.50812335E-03
   2.96011840E-03  2.09272903E-01 -3.60446396E-03
   3.00012000E-03  2.12058036E-01 -3.70209178E-03
   3.04012160E-03  2.14841447E-01 -3.80100584E-03
   3.08012320E-03  2.17623115E-01 -3.90120519E-03
   3.12012480E-03  2.20403016E-01 -4.00268884E-03
   3.16012641E-03  2.23181128E-01 -4.10545581E-03
   3.20012801E-03  2.25957428E-01 -4.20950509E-03
   3.24012961E-03  2.28731895E-01 -4.31483567E-03
   3.28013121E-03  2.31504504E-01 -4.42144653E-03
   3.32013281E-03  2.34275235E-01 -4.52933661E-03
   3.36013441E-03  2.37044063E-01 -4.63850488E-03
   3.40013601E-03  2.39810968E-01 -4.74895027E-03
   3.44013761E-03  2.42575926E-01 -4.86067169E-03
   3.48013921E-03  2.45338915E-01 -4.97366807E-03
   3.52014081E-03  2.48099913E-01 -5.08793829E-03
   3.56014241E-03  2.50858896E-01 -5.20348124E-03
   3.60014401E-03  2.53615844E-01 -5.32029580E-03
   3.64014561E-03  2.56370732E-01 -5.43838083E-03
   3.68014721E-03  2.59123540E-01 -5.55773517E-03
   3.72014881E-03  2.61874245E-01 -5.67835766E-03
   3.76015041E-03  2.64622823E-01 -5.80024712E-03
   3.80015201E-03  2.67369254E-01 -5.92340237E-03
   3.84015361E-03  2.70113514E-01 -6.04782220E-03
   3.88015521E-03  2.72855582E-01 -6.17350540E-03
   3.92015681E-03  2.75595435E-01 -6.30045074E-03
   3.96015841E-03  2.78333051E-01 -6.42865699E-03
   4.00016001E-03  2.81068408E-01 -6.55812289E-03
   4.04016161E-03  2.83801483E-01 -6.68884718E-03
   4.08016321E-03  2.86532254E-01 -6.82082858E-03
   4.12016481E-03  2.89260700E-01 -6.95406581E-03
   4.16016641E-03  2.91986798E-01 -7.08855757E-03
   4.20016801E-03  2.94710525E-01 -7.22430254E-03
   4.24016961E-03  2.97431860E-01 -7.36129940E-03
   4.28017121E-03  3.00150781E-01 -7.49954681E-03
   4.32017281E-03  3.02867266E-01 -7.63904342E-03
   4.36017441E-03  3.05581292E-01 -7.77978787E-03
   4.40017601E-03  3.08292838E-01 -7.92177879E-03
   4.44017761E-03  3.11001881E-01 -8.06501480E-03
   4.48017921E-03  3.13708400E-01 -8.20949448E-03
   4.52018081E-03  3.16412372E-01 -8.35521644E-03
   4.56018241E-03  3.19113776E-01 -8.50217925E-03
   4.60018401E-03  3.21812590E-01 -8.65038147E-03
   4.64018561E-03  3.24508791E-01 -8.79982166E-03
   4.68018721E-03  3.27202359E-01 -8.95049836E-03
   4.72018881E-03  3.29893270E-01 -9.10241010E-03
   4.76019041E-03  3.32581503E-01 -9.25555539E-03
   4.80019201E-03  3.35267037E-01 -9.40993274E-03
   4.84019361E-03  3.37949850E-01 -9.56554065E-03
   4.88019521E-03  3.40629919E-01 -9.72237758E-03
   4.92019681E-03  3.43307223E-01 -9.88044202E-03
   4.96019841E-03  3.45981741E-01 -1.00397324E-02
   5.00020001E-03  3.48653450E-01 -1.02002472E-02
   5.04020161E-03  3.51322329E-01 -1.03619848E-02
   5.08020321E-03  3.53988356E-01 -1.05249437E-02
   5.12020481E-03  3.56651510E-01 -1.06891223E-02
   5.16020641E-03  3.59311769E-01 -1.08545189E-02
   5.20020801E-03  3.61969112E-01 -1.10211319E-02
   5.24020961E-03  3.64623516E-01 -1.11889597E-02
   5.28021121E-03  3.67274960E-01 -1.13580008E-02
   5.32021281E-03  3.69923423E-01 -1.15282533E-02
   5.36021441E-03  3.72568884E-01 -1.16997157E-02
   5.40021601E-03  3.75211320E-01 -1.18723863E-02
   5.44021761E-03  3.77850710E-01 -1.20462634E-02
   5.48021921E-03  3.80487034E-01 -1.22213453E-02
   5.52022081E-03  3.83120269E-01 -1.23976303E-02
   5.56022241E-03  3.85750394E-01 -1.25751166E-02
   5.60022401E-03  3.88377388E-01 -1.27538026E-02
   5.64022561E-03  3.91001229E-01 -1.29336865E-02
   5.68022721E-03  3.93621897E-01 -1.31147664E-02
   5.72022881E-03  3.96239369E-01 -1.32970408E-02
   5.76023041E-03  3.98853625E-01 -1.34805077E-02
   5.80023201E-03  4.01464644E-01 -1.36651653E-02
   5.84023361E-03  4.04072403E-01 -1.38510120E-02
   5.88023521E-03  4.06676883E-01 -1.40380458E-02
   5.92023681E-03  4.09278062E-01 -1.42262649E-02
   5.96023841E-03  4.11875918E-01 -1.44156675E-02
   6.00024001E-03  4.14470431E-01 -1.46062518E-02
   6.04024161E-03  4.17061580E-01 -1.47980158E-02
   6.08024321E-03  4.19649344E-01 -1.49909577E-02
   6.12024481E-03  4.22233701E-01 -1.51850757E-02
   6.16024641E-03  4.24814630E-01 -1.53803677E-02
   6.20024801E-03  4.27392112E-01 -1.55768319E-02
   6.24024961E-03  4.29966124E-01 -1.57744664E-02
   6.28025121E-03  4.32536646E-01 -1.59732693E-02
   6.32025281E-03  4.35103657E-01 -1.61732386E-02
   6.36025441E-03  4.37667136E-01 -1.63743722E-02
   6.40025601E-03  4.40227063E-01 -1.65766684E-02
   6.44025761E-03  4.42783416E-01 -1.67801251E-02
   6.48025921E-03  4.45336175E-01 -1.69847403E-02
   6.52026081E-03  4.47885319E-01 -1.71905119E-02
   6.56026241E-03  4.50430828E-01 -1.73974381E-02
   6.60026401E-03  4.52972680E-01 -1.76055167E-02
   6.64026561E-03  4.55510856E-01 -1.78147458E-02
   6.68026721E-03  4.58045334E-01 -1.80251232E-02
   6.72026881E-03  4.60576094E-01 -1.82366469E-02
   6.76027041E-03  4.63103115E-01 -1.84493149E-02
   6.80027201E-03  4.65626377E-01 -1.86631251E-02
   6.84027361E-03  4.68145860E-01 -1.88780753E-02
   6.88027521E-03  4.70661542E-01 -1.90941635E-02
   6.92027681E-03  4.73173405E-01 -1.93113876E-02
   6.96027841E-03  4.75681426E-01 -1.95297453E-02
   7.00028001E-03  4.78185586E-01 -1.97492347E-02
   7.04028161E-03  4.80685865E-01 -1.99698535E-02
   7.08028321E-03  4.83182241E-01 -2.01915996E-02
   7.12028481E-03  4.85674696E-01 -2.04144707E-02
   7.16028641E-03  4.88163208E-01 -2.06384648E-02
   7.20028801E-03  4.90647758E-01 -2.08635796E-02
   7.24028961E-03  4.93128325E-01 -2.10898130E-02
   7.28029121E-03  4.95604890E-01 -2.13171626E-02
   7.32029281E-03  4.98077431E-01 -2.15456264E-02
   7.36029441E-03  5.00545929E-01 -2.17752019E-02
   7.40029601E-03  5.03010365E-01 -2.20058871E-02
   7.44029761E-03  5.05470717E-01 -2.22376795E-02
   7.48029921E-03  5.07926966E-01 -2.24705771E-02
   7.52030081E-03  5.10379093E-01 -2.27045774E-02
   7.56030241E-03  5.12827076E-01 -2.29396781E-02
   7.60030401E-03  5.15270897E-01 -2.31758771E-02
   7.64030561E-03  5.17710535E-01 -2.34131719E-02
   7.68030721E-03  5.20145971E-01 -2.36515602E-02
   7.72030881E-03  5.22577185E-01 -2.38910398E-02
   7.76031041E-03  5.25004156E-01 -2.41316081E-02
