 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 1.101171E+02, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift=-0.000000000000000E+00
 #      Coulomb phase shift=-1.770923508011244E+00  (ETA=-3.790086E+00)
 #      Matching radius: RAD(  222)= 8.840353614144600E-03
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  5.17772481E-03 -1.10721556E-03
   8.00032001E-05  9.72368617E-03 -2.08117840E-03
   1.20004800E-04  1.40440242E-02 -3.00853957E-03
   1.60006400E-04  1.82164957E-02 -3.90584858E-03
   2.00008000E-04  2.22769435E-02 -4.78071885E-03
   2.40009600E-04  2.62460854E-02 -5.63754216E-03
   2.80011200E-04  3.01374320E-02 -6.47917639E-03
   3.20012801E-04  3.39604932E-02 -7.30762877E-03
   3.60014401E-04  3.77223285E-02 -8.12438592E-03
   4.00016001E-04  4.14283882E-02 -8.93059285E-03
   4.40017601E-04  4.50830093E-02 -9.72715845E-03
   4.80019201E-04  4.86897266E-02 -1.05148217E-02
   5.20020801E-04  5.22514787E-02 -1.12941951E-02
   5.60022401E-04  5.57707481E-02 -1.20657949E-02
   6.00024001E-04  5.92496610E-02 -1.28300621E-02
   6.40025601E-04  6.26900606E-02 -1.35873776E-02
   6.80027201E-04  6.60935606E-02 -1.43380742E-02
   7.20028801E-04  6.94615865E-02 -1.50824448E-02
   7.60030401E-04  7.27954078E-02 -1.58207497E-02
   8.00032001E-04  7.60961629E-02 -1.65532213E-02
   8.40033601E-04  7.93648788E-02 -1.72800687E-02
   8.80035201E-04  8.26024876E-02 -1.80014813E-02
   9.20036801E-04  8.58098396E-02 -1.87176310E-02
   9.60038402E-04  8.89877138E-02 -1.94286748E-02
   1.00004000E-03  9.21368272E-02 -2.01347570E-02
   1.04004160E-03  9.52578422E-02 -2.08360100E-02
   1.08004320E-03  9.83513729E-02 -2.15325566E-02
   1.12004480E-03  1.01417991E-01 -2.22245103E-02
   1.16004640E-03  1.04458229E-01 -2.29119768E-02
   1.20004800E-03  1.07472587E-01 -2.35950547E-02
   1.24004960E-03  1.10461532E-01 -2.42738360E-02
   1.28005120E-03  1.13425505E-01 -2.49484072E-02
   1.32005280E-03  1.16364921E-01 -2.56188493E-02
   1.36005440E-03  1.19280173E-01 -2.62852387E-02
   1.40005600E-03  1.22171632E-01 -2.69476474E-02
   1.44005760E-03  1.25039651E-01 -2.76061436E-02
   1.48005920E-03  1.27884565E-01 -2.82607917E-02
   1.52006080E-03  1.30706693E-01 -2.89116529E-02
   1.56006240E-03  1.33506338E-01 -2.95587853E-02
   1.60006400E-03  1.36283792E-01 -3.02022441E-02
   1.64006560E-03  1.39039333E-01 -3.08420821E-02
   1.68006720E-03  1.41773227E-01 -3.14783494E-02
   1.72006880E-03  1.44485728E-01 -3.21110942E-02
   1.76007040E-03  1.47177083E-01 -3.27403624E-02
   1.80007200E-03  1.49847527E-01 -3.33661979E-02
   1.84007360E-03  1.52497287E-01 -3.39886431E-02
   1.88007520E-03  1.55126582E-01 -3.46077383E-02
   1.92007680E-03  1.57735622E-01 -3.52235226E-02
   1.96007840E-03  1.60324612E-01 -3.58360333E-02
   2.00008000E-03  1.62893748E-01 -3.64453065E-02
   2.04008160E-03  1.65443221E-01 -3.70513770E-02
   2.08008320E-03  1.67973215E-01 -3.76542783E-02
   2.12008480E-03  1.70483909E-01 -3.82540427E-02
   2.16008640E-03  1.72975476E-01 -3.88507015E-02
   2.20008800E-03  1.75448085E-01 -3.94442850E-02
   2.24008960E-03  1.77901899E-01 -4.00348223E-02
   2.28009120E-03  1.80337078E-01 -4.06223418E-02
   2.32009280E-03  1.82753774E-01 -4.12068710E-02
   2.36009440E-03  1.85152140E-01 -4.17884365E-02
   2.40009600E-03  1.87532321E-01 -4.23670642E-02
   2.44009760E-03  1.89894461E-01 -4.29427790E-02
   2.48009920E-03  1.92238698E-01 -4.35156054E-02
   2.52010080E-03  1.94565169E-01 -4.40855671E-02
   2.56010240E-03  1.96874007E-01 -4.46526871E-02
   2.60010400E-03  1.99165340E-01 -4.52169879E-02
   2.64010560E-03  2.01439295E-01 -4.57784912E-02
   2.68010720E-03  2.03695997E-01 -4.63372185E-02
   2.72010880E-03  2.05935567E-01 -4.68931904E-02
   2.76011040E-03  2.08158123E-01 -4.74464272E-02
   2.80011200E-03  2.10363782E-01 -4.79969486E-02
   2.84011360E-03  2.12552656E-01 -4.85447738E-02
   2.88011520E-03  2.14724859E-01 -4.90899218E-02
   2.92011680E-03  2.16880498E-01 -4.96324109E-02
   2.96011840E-03  2.19019681E-01 -5.01722590E-02
   3.00012000E-03  2.21142514E-01 -5.07094838E-02
   3.04012160E-03  2.23249100E-01 -5.12441025E-02
   3.08012320E-03  2.25339540E-01 -5.17761318E-02
   3.12012480E-03  2.27413934E-01 -5.23055884E-02
   3.16012641E-03  2.29472380E-01 -5.28324882E-02
   3.20012801E-03  2.31514974E-01 -5.33568471E-02
   3.24012961E-03  2.33541810E-01 -5.38786806E-02
   3.28013121E-03  2.35552982E-01 -5.43980039E-02
   3.32013281E-03  2.37548581E-01 -5.49148319E-02
   3.36013441E-03  2.39528698E-01 -5.54291792E-02
   3.40013601E-03  2.41493421E-01 -5.59410602E-02
   3.44013761E-03  2.43442837E-01 -5.64504888E-02
   3.48013921E-03  2.45377033E-01 -5.69574791E-02
   3.52014081E-03  2.47296094E-01 -5.74620444E-02
   3.56014241E-03  2.49200102E-01 -5.79641983E-02
   3.60014401E-03  2.51089141E-01 -5.84639537E-02
   3.64014561E-03  2.52963292E-01 -5.89613236E-02
   3.68014721E-03  2.54822634E-01 -5.94563207E-02
   3.72014881E-03  2.56667247E-01 -5.99489574E-02
   3.76015041E-03  2.58497208E-01 -6.04392459E-02
   3.80015201E-03  2.60312596E-01 -6.09271984E-02
   3.84015361E-03  2.62113485E-01 -6.14128268E-02
   3.88015521E-03  2.63899950E-01 -6.18961427E-02
   3.92015681E-03  2.65672067E-01 -6.23771576E-02
   3.96015841E-03  2.67429907E-01 -6.28558829E-02
   4.00016001E-03  2.69173544E-01 -6.33323298E-02
   4.04016161E-03  2.70903048E-01 -6.38065093E-02
   4.08016321E-03  2.72618490E-01 -6.42784322E-02
   4.12016481E-03  2.74319941E-01 -6.47481092E-02
   4.16016641E-03  2.76007468E-01 -6.52155509E-02
   4.20016801E-03  2.77681140E-01 -6.56807677E-02
   4.24016961E-03  2.79341025E-01 -6.61437698E-02
   4.28017121E-03  2.80987190E-01 -6.66045675E-02
   4.32017281E-03  2.82619699E-01 -6.70631706E-02
   4.36017441E-03  2.84238619E-01 -6.75195890E-02
   4.40017601E-03  2.85844015E-01 -6.79738325E-02
   4.44017761E-03  2.87435949E-01 -6.84259106E-02
   4.48017921E-03  2.89014486E-01 -6.88758330E-02
   4.52018081E-03  2.90579688E-01 -6.93236088E-02
   4.56018241E-03  2.92131618E-01 -6.97692475E-02
   4.60018401E-03  2.93670336E-01 -7.02127581E-02
   4.64018561E-03  2.95195904E-01 -7.06541496E-02
   4.68018721E-03  2.96708381E-01 -7.10934311E-02
   4.72018881E-03  2.98207828E-01 -7.15306113E-02
   4.76019041E-03  2.99694304E-01 -7.19656989E-02
   4.80019201E-03  3.01167867E-01 -7.23987026E-02
   4.84019361E-03  3.02628576E-01 -7.28296310E-02
   4.88019521E-03  3.04076487E-01 -7.32584923E-02
   4.92019681E-03  3.05511659E-01 -7.36852951E-02
   4.96019841E-03  3.06934148E-01 -7.41100475E-02
   5.00020001E-03  3.08344009E-01 -7.45327578E-02
   5.04020161E-03  3.09741299E-01 -7.49534339E-02
   5.08020321E-03  3.11126073E-01 -7.53720839E-02
   5.12020481E-03  3.12498384E-01 -7.57887157E-02
   5.16020641E-03  3.13858289E-01 -7.62033371E-02
   5.20020801E-03  3.15205840E-01 -7.66159559E-02
   5.24020961E-03  3.16541091E-01 -7.70265798E-02
   5.28021121E-03  3.17864095E-01 -7.74352163E-02
   5.32021281E-03  3.19174904E-01 -7.78418731E-02
   5.36021441E-03  3.20473571E-01 -7.82465575E-02
   5.40021601E-03  3.21760147E-01 -7.86492769E-02
   5.44021761E-03  3.23034684E-01 -7.90500387E-02
   5.48021921E-03  3.24297233E-01 -7.94488501E-02
   5.52022081E-03  3.25547844E-01 -7.98457183E-02
   5.56022241E-03  3.26786568E-01 -8.02406504E-02
   5.60022401E-03  3.28013454E-01 -8.06336535E-02
   5.64022561E-03  3.29228552E-01 -8.10247345E-02
   5.68022721E-03  3.30431912E-01 -8.14139003E-02
   5.72022881E-03  3.31623581E-01 -8.18011580E-02
   5.76023041E-03  3.32803610E-01 -8.21865142E-02
   5.80023201E-03  3.33972045E-01 -8.25699757E-02
   5.84023361E-03  3.35128935E-01 -8.29515492E-02
   5.88023521E-03  3.36274326E-01 -8.33312413E-02
   5.92023681E-03  3.37408268E-01 -8.37090587E-02
   5.96023841E-03  3.38530805E-01 -8.40850079E-02
   6.00024001E-03  3.39641986E-01 -8.44590953E-02
   6.04024161E-03  3.40741856E-01 -8.48313274E-02
   6.08024321E-03  3.41830460E-01 -8.52017106E-02
   6.12024481E-03  3.42907846E-01 -8.55702511E-02
   6.16024641E-03  3.43974058E-01 -8.59369553E-02
   6.20024801E-03  3.45029142E-01 -8.63018294E-02
   6.24024961E-03  3.46073142E-01 -8.66648795E-02
   6.28025121E-03  3.47106103E-01 -8.70261118E-02
   6.32025281E-03  3.48128069E-01 -8.73855325E-02
   6.36025441E-03  3.49139085E-01 -8.77431475E-02
   6.40025601E-03  3.50139194E-01 -8.80989628E-02
   6.44025761E-03  3.51128439E-01 -8.84529844E-02
   6.48025921E-03  3.52106865E-01 -8.88052183E-02
   6.52026081E-03  3.53074513E-01 -8.91556702E-02
   6.56026241E-03  3.54031428E-01 -8.95043461E-02
   6.60026401E-03  3.54977651E-01 -8.98512517E-02
   6.64026561E-03  3.55913224E-01 -9.01963928E-02
   6.68026721E-03  3.56838190E-01 -9.05397750E-02
   6.72026881E-03  3.57752591E-01 -9.08814041E-02
   6.76027041E-03  3.58656468E-01 -9.12212856E-02
   6.80027201E-03  3.59549863E-01 -9.15594253E-02
   6.84027361E-03  3.60432817E-01 -9.18958286E-02
   6.88027521E-03  3.61305370E-01 -9.22305011E-02
   6.92027681E-03  3.62167564E-01 -9.25634482E-02
   6.96027841E-03  3.63019439E-01 -9.28946755E-02
   7.00028001E-03  3.63861035E-01 -9.32241883E-02
   7.04028161E-03  3.64692392E-01 -9.35519920E-02
   7.08028321E-03  3.65513551E-01 -9.38780920E-02
   7.12028481E-03  3.66324551E-01 -9.42024936E-02
   7.16028641E-03  3.67125431E-01 -9.45252020E-02
   7.20028801E-03  3.67916231E-01 -9.48462226E-02
   7.24028961E-03  3.68696990E-01 -9.51655605E-02
   7.28029121E-03  3.69467746E-01 -9.54832210E-02
   7.32029281E-03  3.70228539E-01 -9.57992091E-02
   7.36029441E-03  3.70979407E-01 -9.61135301E-02
   7.40029601E-03  3.71720388E-01 -9.64261890E-02
   7.44029761E-03  3.72451520E-01 -9.67371910E-02
   7.48029921E-03  3.73172842E-01 -9.70465409E-02
   7.52030081E-03  3.73884390E-01 -9.73542439E-02
   7.56030241E-03  3.74586204E-01 -9.76603049E-02
   7.60030401E-03  3.75278320E-01 -9.79647289E-02
   7.64030561E-03  3.75960775E-01 -9.82675209E-02
