 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: freepot.in          
 #      Free state: E= 7.297387E+03, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift=-0.000000000000000E+00
 #      Coulomb phase shift= 0.000000000000000E+00  (ETA= 0.000000E+00)
 #      Matching radius: RAD(    4)= 1.200048001920000E-04
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  5.28117248E-03 -3.74990237E-06
   8.00032001E-05  1.05621977E-02 -1.49994840E-05
   1.20004800E-04  1.58429283E-02 -3.37483683E-05
   1.60006400E-04  2.11232170E-02 -5.99959278E-05
   2.00008000E-04  2.64029166E-02 -9.37412840E-05
   2.40009600E-04  3.16818797E-02 -1.34983308E-04
   2.80011200E-04  3.69599593E-02 -1.83720618E-04
   3.20012801E-04  4.22370080E-02 -2.39951584E-04
   3.60014401E-04  4.75128786E-02 -3.03674324E-04
   4.00016001E-04  5.27874241E-02 -3.74886704E-04
   4.40017601E-04  5.80604973E-02 -4.53586342E-04
   4.80019201E-04  6.33319511E-02 -5.39770603E-04
   5.20020801E-04  6.86016385E-02 -6.33436601E-04
   5.60022401E-04  7.38694126E-02 -7.34581204E-04
   6.00024001E-04  7.91351263E-02 -8.43201023E-04
   6.40025601E-04  8.43986329E-02 -9.59292424E-04
   6.80027201E-04  8.96597856E-02 -1.08285152E-03
   7.20028801E-04  9.49184375E-02 -1.21387418E-03
   7.60030401E-04  1.00174442E-01 -1.35235601E-03
   8.00032001E-04  1.05427653E-01 -1.49829237E-03
   8.40033601E-04  1.10677923E-01 -1.65167839E-03
   8.80035201E-04  1.15925106E-01 -1.81250893E-03
   9.20036801E-04  1.21169056E-01 -1.98077860E-03
   9.60038402E-04  1.26409627E-01 -2.15648177E-03
   1.00004000E-03  1.31646671E-01 -2.33961255E-03
   1.04004160E-03  1.36880044E-01 -2.53016482E-03
   1.08004320E-03  1.42109600E-01 -2.72813220E-03
   1.12004480E-03  1.47335191E-01 -2.93350805E-03
   1.16004640E-03  1.52556674E-01 -3.14628550E-03
   1.20004800E-03  1.57773901E-01 -3.36645743E-03
   1.24004960E-03  1.62986728E-01 -3.59401646E-03
   1.28005120E-03  1.68195009E-01 -3.82895497E-03
   1.32005280E-03  1.73398599E-01 -4.07126509E-03
   1.36005440E-03  1.78597353E-01 -4.32093871E-03
   1.40005600E-03  1.83791125E-01 -4.57796747E-03
   1.44005760E-03  1.88979772E-01 -4.84234276E-03
   1.48005920E-03  1.94163147E-01 -5.11405571E-03
   1.52006080E-03  1.99341107E-01 -5.39309724E-03
   1.56006240E-03  2.04513508E-01 -5.67945800E-03
   1.60006400E-03  2.09680204E-01 -5.97312838E-03
   1.64006560E-03  2.14841052E-01 -6.27409856E-03
   1.68006720E-03  2.19995908E-01 -6.58235845E-03
   1.72006880E-03  2.25144628E-01 -6.89789772E-03
   1.76007040E-03  2.30287068E-01 -7.22070580E-03
   1.80007200E-03  2.35423086E-01 -7.55077188E-03
   1.84007360E-03  2.40552537E-01 -7.88808489E-03
   1.88007520E-03  2.45675279E-01 -8.23263352E-03
   1.92007680E-03  2.50791169E-01 -8.58440624E-03
   1.96007840E-03  2.55900065E-01 -8.94339126E-03
   2.00008000E-03  2.61001822E-01 -9.30957653E-03
   2.04008160E-03  2.66096301E-01 -9.68294979E-03
   2.08008320E-03  2.71183357E-01 -1.00634985E-02
   2.12008480E-03  2.76262850E-01 -1.04512100E-02
   2.16008640E-03  2.81334638E-01 -1.08460711E-02
   2.20008800E-03  2.86398579E-01 -1.12480688E-02
   2.24008960E-03  2.91454533E-01 -1.16571894E-02
   2.28009120E-03  2.96502357E-01 -1.20734193E-02
   2.32009280E-03  3.01541911E-01 -1.24967446E-02
   2.36009440E-03  3.06573055E-01 -1.29271510E-02
   2.40009600E-03  3.11595649E-01 -1.33646240E-02
   2.44009760E-03  3.16609552E-01 -1.38091491E-02
   2.48009920E-03  3.21614624E-01 -1.42607113E-02
   2.52010080E-03  3.26610726E-01 -1.47192955E-02
   2.56010240E-03  3.31597719E-01 -1.51848862E-02
   2.60010400E-03  3.36575463E-01 -1.56574679E-02
   2.64010560E-03  3.41543820E-01 -1.61370246E-02
   2.68010720E-03  3.46502650E-01 -1.66235404E-02
   2.72010880E-03  3.51451817E-01 -1.71169989E-02
   2.76011040E-03  3.56391181E-01 -1.76173834E-02
   2.80011200E-03  3.61320605E-01 -1.81246773E-02
   2.84011360E-03  3.66239951E-01 -1.86388635E-02
   2.88011520E-03  3.71149083E-01 -1.91599247E-02
   2.92011680E-03  3.76047863E-01 -1.96878435E-02
   2.96011840E-03  3.80936154E-01 -2.02226020E-02
   3.00012000E-03  3.85813821E-01 -2.07641824E-02
   3.04012160E-03  3.90680727E-01 -2.13125665E-02
   3.08012320E-03  3.95536737E-01 -2.18677358E-02
   3.12012480E-03  4.00381715E-01 -2.24296718E-02
   3.16012641E-03  4.05215525E-01 -2.29983554E-02
   3.20012801E-03  4.10038034E-01 -2.35737677E-02
   3.24012961E-03  4.14849107E-01 -2.41558893E-02
   3.28013121E-03  4.19648608E-01 -2.47447006E-02
   3.32013281E-03  4.24436406E-01 -2.53401818E-02
   3.36013441E-03  4.29212366E-01 -2.59423129E-02
   3.40013601E-03  4.33976354E-01 -2.65510738E-02
   3.44013761E-03  4.38728238E-01 -2.71664438E-02
   3.48013921E-03  4.43467886E-01 -2.77884024E-02
   3.52014081E-03  4.48195165E-01 -2.84169286E-02
   3.56014241E-03  4.52909944E-01 -2.90520013E-02
   3.60014401E-03  4.57612090E-01 -2.96935992E-02
   3.64014561E-03  4.62301473E-01 -3.03417006E-02
   3.68014721E-03  4.66977962E-01 -3.09962837E-02
   3.72014881E-03  4.71641427E-01 -3.16573265E-02
   3.76015041E-03  4.76291737E-01 -3.23248069E-02
   3.80015201E-03  4.80928763E-01 -3.29987023E-02
   3.84015361E-03  4.85552375E-01 -3.36789900E-02
   3.88015521E-03  4.90162445E-01 -3.43656471E-02
   3.92015681E-03  4.94758844E-01 -3.50586506E-02
   3.96015841E-03  4.99341443E-01 -3.57579771E-02
   4.00016001E-03  5.03910115E-01 -3.64636031E-02
   4.04016161E-03  5.08464733E-01 -3.71755047E-02
   4.08016321E-03  5.13005169E-01 -3.78936581E-02
   4.12016481E-03  5.17531297E-01 -3.86180390E-02
   4.16016641E-03  5.22042990E-01 -3.93486230E-02
   4.20016801E-03  5.26540123E-01 -4.00853855E-02
   4.24016961E-03  5.31022571E-01 -4.08283017E-02
   4.28017121E-03  5.35490207E-01 -4.15773466E-02
   4.32017281E-03  5.39942909E-01 -4.23324949E-02
   4.36017441E-03  5.44380551E-01 -4.30937211E-02
   4.40017601E-03  5.48803009E-01 -4.38609996E-02
   4.44017761E-03  5.53210161E-01 -4.46343045E-02
   4.48017921E-03  5.57601883E-01 -4.54136097E-02
   4.52018081E-03  5.61978053E-01 -4.61988889E-02
   4.56018241E-03  5.66338549E-01 -4.69901157E-02
   4.60018401E-03  5.70683250E-01 -4.77872634E-02
   4.64018561E-03  5.75012033E-01 -4.85903050E-02
   4.68018721E-03  5.79324779E-01 -4.93992135E-02
   4.72018881E-03  5.83621367E-01 -5.02139615E-02
   4.76019041E-03  5.87901677E-01 -5.10345216E-02
   4.80019201E-03  5.92165590E-01 -5.18608659E-02
   4.84019361E-03  5.96412987E-01 -5.26929668E-02
   4.88019521E-03  6.00643749E-01 -5.35307959E-02
   4.92019681E-03  6.04857759E-01 -5.43743251E-02
   4.96019841E-03  6.09054898E-01 -5.52235257E-02
   5.00020001E-03  6.13235051E-01 -5.60783692E-02
   5.04020161E-03  6.17398100E-01 -5.69388267E-02
   5.08020321E-03  6.21543929E-01 -5.78048689E-02
   5.12020481E-03  6.25672422E-01 -5.86764668E-02
   5.16020641E-03  6.29783465E-01 -5.95535907E-02
   5.20020801E-03  6.33876943E-01 -6.04362111E-02
   5.24020961E-03  6.37952741E-01 -6.13242980E-02
   5.28021121E-03  6.42010746E-01 -6.22178214E-02
   5.32021281E-03  6.46050845E-01 -6.31167512E-02
   5.36021441E-03  6.50072925E-01 -6.40210568E-02
   5.40021601E-03  6.54076873E-01 -6.49307076E-02
   5.44021761E-03  6.58062579E-01 -6.58456729E-02
   5.48021921E-03  6.62029931E-01 -6.67659217E-02
   5.52022081E-03  6.65978818E-01 -6.76914228E-02
   5.56022241E-03  6.69909130E-01 -6.86221448E-02
   5.60022401E-03  6.73820758E-01 -6.95580563E-02
   5.64022561E-03  6.77713592E-01 -7.04991254E-02
   5.68022721E-03  6.81587525E-01 -7.14453204E-02
   5.72022881E-03  6.85442447E-01 -7.23966090E-02
   5.76023041E-03  6.89278251E-01 -7.33529592E-02
   5.80023201E-03  6.93094831E-01 -7.43143384E-02
   5.84023361E-03  6.96892080E-01 -7.52807139E-02
   5.88023521E-03  7.00669891E-01 -7.62520532E-02
   5.92023681E-03  7.04428161E-01 -7.72283231E-02
   5.96023841E-03  7.08166783E-01 -7.82094905E-02
   6.00024001E-03  7.11885654E-01 -7.91955222E-02
   6.04024161E-03  7.15584669E-01 -8.01863846E-02
   6.08024321E-03  7.19263726E-01 -8.11820440E-02
   6.12024481E-03  7.22922722E-01 -8.21824668E-02
   6.16024641E-03  7.26561556E-01 -8.31876188E-02
   6.20024801E-03  7.30180124E-01 -8.41974660E-02
   6.24024961E-03  7.33778327E-01 -8.52119739E-02
   6.28025121E-03  7.37356065E-01 -8.62311081E-02
   6.32025281E-03  7.40913237E-01 -8.72548339E-02
   6.36025441E-03  7.44449744E-01 -8.82831166E-02
   6.40025601E-03  7.47965487E-01 -8.93159211E-02
   6.44025761E-03  7.51460369E-01 -9.03532123E-02
   6.48025921E-03  7.54934293E-01 -9.13949548E-02
   6.52026081E-03  7.58387160E-01 -9.24411132E-02
   6.56026241E-03  7.61818875E-01 -9.34916520E-02
   6.60026401E-03  7.65229342E-01 -9.45465352E-02
   6.64026561E-03  7.68618467E-01 -9.56057269E-02
   6.68026721E-03  7.71986153E-01 -9.66691911E-02
   6.72026881E-03  7.75332309E-01 -9.77368916E-02
   6.76027041E-03  7.78656839E-01 -9.88087918E-02
   6.80027201E-03  7.81959652E-01 -9.98848553E-02
   6.84027361E-03  7.85240656E-01 -1.00965045E-01
   6.88027521E-03  7.88499758E-01 -1.02049325E-01
   6.92027681E-03  7.91736868E-01 -1.03137657E-01
   6.96027841E-03  7.94951896E-01 -1.04230005E-01
   7.00028001E-03  7.98144752E-01 -1.05326331E-01
   7.04028161E-03  8.01315347E-01 -1.06426598E-01
   7.08028321E-03  8.04463592E-01 -1.07530768E-01
   7.12028481E-03  8.07589400E-01 -1.08638804E-01
   7.16028641E-03  8.10692684E-01 -1.09750667E-01
   7.20028801E-03  8.13773357E-01 -1.10866320E-01
   7.24028961E-03  8.16831333E-01 -1.11985724E-01
   7.28029121E-03  8.19866526E-01 -1.13108841E-01
   7.32029281E-03  8.22878853E-01 -1.14235633E-01
   7.36029441E-03  8.25868229E-01 -1.15366061E-01
   7.40029601E-03  8.28834570E-01 -1.16500087E-01
   7.44029761E-03  8.31777795E-01 -1.17637671E-01
   7.48029921E-03  8.34697820E-01 -1.18778774E-01
   7.52030081E-03  8.37594565E-01 -1.19923359E-01
   7.56030241E-03  8.40467948E-01 -1.21071384E-01
   7.60030401E-03  8.43317890E-01 -1.22222811E-01
   7.64030561E-03  8.46144312E-01 -1.23377601E-01
   7.68030721E-03  8.48947133E-01 -1.24535714E-01
   7.72030881E-03  8.51726276E-01 -1.25697109E-01
   7.76031041E-03  8.54481664E-01 -1.26861748E-01
   7.80031201E-03  8.57213220E-01 -1.28029590E-01
   7.84031361E-03  8.59920867E-01 -1.29200595E-01
   7.88031521E-03  8.62604530E-01 -1.30374723E-01
   7.92031681E-03  8.65264134E-01 -1.31551933E-01
   7.96031841E-03  8.67899605E-01 -1.32732185E-01
   8.00032001E-03  8.70510869E-01 -1.33915439E-01
   8.04032161E-03  8.73097854E-01 -1.35101654E-01
   8.08032321E-03  8.75660488E-01 -1.36290788E-01
   8.12032481E-03  8.78198698E-01 -1.37482802E-01
   8.16032641E-03  8.80712415E-01 -1.38677653E-01
   8.20032801E-03  8.83201568E-01 -1.39875301E-01
   8.24032961E-03  8.85666087E-01 -1.41075705E-01
   8.28033121E-03  8.88105904E-01 -1.42278822E-01
   8.32033281E-03  8.90520951E-01 -1.43484613E-01
   8.36033441E-03  8.92911161E-01 -1.44693034E-01
   8.40033601E-03  8.95276467E-01 -1.45904045E-01
   8.44033761E-03  8.97616802E-01 -1.47117603E-01
   8.48033921E-03  8.99932102E-01 -1.48333667E-01
   8.52034081E-03  9.02222302E-01 -1.49552194E-01
   8.56034241E-03  9.04487338E-01 -1.50773143E-01
   8.60034401E-03  9.06727147E-01 -1.51996472E-01
   8.64034561E-03  9.08941667E-01 -1.53222137E-01
   8.68034721E-03  9.11130835E-01 -1.54450097E-01
   8.72034881E-03  9.13294591E-01 -1.55680309E-01
   8.76035041E-03  9.15432874E-01 -1.56912731E-01
   8.80035201E-03  9.17545625E-01 -1.58147319E-01
   8.84035361E-03  9.19632785E-01 -1.59384032E-01
   8.88035521E-03  9.21694295E-01 -1.60622826E-01
   8.92035681E-03  9.23730098E-01 -1.61863658E-01
   8.96035841E-03  9.25740138E-01 -1.63106486E-01
   9.00036001E-03  9.27724358E-01 -1.64351266E-01
   9.04036161E-03  9.29682702E-01 -1.65597954E-01
   9.08036321E-03  9.31615117E-01 -1.66846509E-01
   9.12036481E-03  9.33521548E-01 -1.68096885E-01
   9.16036641E-03  9.35401943E-01 -1.69349041E-01
   9.20036801E-03  9.37256248E-01 -1.70602931E-01
   9.24036961E-03  9.39084412E-01 -1.71858514E-01
   9.28037121E-03  9.40886384E-01 -1.73115744E-01
   9.32037281E-03  9.42662114E-01 -1.74374579E-01
   9.36037441E-03  9.44411552E-01 -1.75634975E-01
   9.40037602E-03  9.46134650E-01 -1.76896886E-01
   9.44037762E-03  9.47831359E-01 -1.78160271E-01
   9.48037922E-03  9.49501632E-01 -1.79425084E-01
   9.52038082E-03  9.51145422E-01 -1.80691281E-01
