 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: freepot.in          
 #      Free state: E= 2.547518E+02, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift= 0.000000000000000E+00  (ETA= 0.000000E+00)
 #      Matching radius: RAD(    4)= 1.200048001920000E-04
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  9.05980598E-04 -2.24573084E-08
   8.00032001E-05  1.81196045E-03 -8.98292113E-08
   1.20004800E-04  2.71793882E-03 -2.02115643E-07
   1.60006400E-04  3.62391496E-03 -3.59316491E-07
   2.00008000E-04  4.52988812E-03 -5.61431603E-07
   2.40009600E-04  5.43585756E-03 -8.08460778E-07
   2.80011200E-04  6.34182255E-03 -1.10040377E-06
   3.20012801E-04  7.24778232E-03 -1.43726030E-06
   3.60014401E-04  8.15373615E-03 -1.81903003E-06
   4.00016001E-04  9.05968329E-03 -2.24571259E-06
   4.40017601E-04  9.96562299E-03 -2.71730755E-06
   4.80019201E-04  1.08715545E-02 -3.23381445E-06
   5.20020801E-04  1.17774771E-02 -3.79523278E-06
   5.60022401E-04  1.26833900E-02 -4.40156199E-06
   6.00024001E-04  1.35892925E-02 -5.05280148E-06
   6.40025601E-04  1.44951839E-02 -5.74895061E-06
   6.80027201E-04  1.54010634E-02 -6.49000870E-06
   7.20028801E-04  1.63069302E-02 -7.27597501E-06
   7.60030401E-04  1.72127836E-02 -8.10684877E-06
   8.00032001E-04  1.81186230E-02 -8.98262916E-06
   8.40033601E-04  1.90244474E-02 -9.90331532E-06
   8.80035201E-04  1.99302562E-02 -1.08689063E-05
   9.20036801E-04  2.08360487E-02 -1.18794013E-05
   9.60038402E-04  2.17418241E-02 -1.29347991E-05
   1.00004000E-03  2.26475816E-02 -1.40350989E-05
   1.04004160E-03  2.35533205E-02 -1.51802994E-05
   1.08004320E-03  2.44590401E-02 -1.63703996E-05
   1.12004480E-03  2.53647396E-02 -1.76053982E-05
   1.16004640E-03  2.62704183E-02 -1.88852942E-05
   1.20004800E-03  2.71760755E-02 -2.02100862E-05
   1.24004960E-03  2.80817103E-02 -2.15797728E-05
   1.28005120E-03  2.89873221E-02 -2.29943529E-05
   1.32005280E-03  2.98929101E-02 -2.44538249E-05
   1.36005440E-03  3.07984735E-02 -2.59581874E-05
   1.40005600E-03  3.17040117E-02 -2.75074390E-05
   1.44005760E-03  3.26095238E-02 -2.91015781E-05
   1.48005920E-03  3.35150092E-02 -3.07406032E-05
   1.52006080E-03  3.44204671E-02 -3.24245126E-05
   1.56006240E-03  3.53258967E-02 -3.41533046E-05
   1.60006400E-03  3.62312974E-02 -3.59269777E-05
   1.64006560E-03  3.71366683E-02 -3.77455300E-05
   1.68006720E-03  3.80420087E-02 -3.96089597E-05
   1.72006880E-03  3.89473178E-02 -4.15172650E-05
   1.76007040E-03  3.98525951E-02 -4.34704441E-05
   1.80007200E-03  4.07578396E-02 -4.54684949E-05
   1.84007360E-03  4.16630506E-02 -4.75114156E-05
   1.88007520E-03  4.25682275E-02 -4.95992041E-05
   1.92007680E-03  4.34733694E-02 -5.17318584E-05
   1.96007840E-03  4.43784756E-02 -5.39093763E-05
   2.00008000E-03  4.52835454E-02 -5.61317557E-05
   2.04008160E-03  4.61885781E-02 -5.83989945E-05
   2.08008320E-03  4.70935728E-02 -6.07110904E-05
   2.12008480E-03  4.79985288E-02 -6.30680410E-05
   2.16008640E-03  4.89034455E-02 -6.54698442E-05
   2.20008800E-03  4.98083221E-02 -6.79164975E-05
   2.24008960E-03  5.07131577E-02 -7.04079986E-05
