 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: freepot.in          
 #      Free state: E= 5.517553E+03, K=   1  (EPS= 1.0E-15)
 #        Inner phase shift=-0.000000000000000E+00
 #      Coulomb phase shift= 0.000000000000000E+00  (ETA= 0.000000E+00)
 #      Matching radius: RAD(    4)= 1.200048001920000E-04
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  6.75053078E-06  1.61060022E-03
   8.00032001E-05  2.70019591E-05  3.22116783E-03
   1.20004800E-04  6.07537928E-05  4.83167020E-03
   1.60006400E-04  1.08005212E-04  6.44207473E-03
   2.00008000E-04  1.68755067E-04  8.05234879E-03
   2.40009600E-04  2.43001883E-04  9.66245978E-03
   2.80011200E-04  3.30743855E-04  1.12723751E-02
   3.20012801E-04  4.31978851E-04  1.28820621E-02
   3.60014401E-04  5.46704411E-04  1.44914883E-02
   4.00016001E-04  6.74917746E-04  1.61006209E-02
   4.40017601E-04  8.16615740E-04  1.77094275E-02
   4.80019201E-04  9.71794950E-04  1.93178755E-02
   5.20020801E-04  1.14045160E-03  2.09259322E-02
   5.60022401E-04  1.32258160E-03  2.25335652E-02
   6.00024001E-04  1.51818052E-03  2.41407418E-02
   6.40025601E-04  1.72724361E-03  2.57474295E-02
   6.80027201E-04  1.94976577E-03  2.73535958E-02
   7.20028801E-04  2.18574162E-03  2.89592082E-02
   7.60030401E-04  2.43516540E-03  3.05642341E-02
   8.00032001E-04  2.69803106E-03  3.21686410E-02
   8.40033601E-04  2.97433221E-03  3.37723964E-02
   8.80035201E-04  3.26406213E-03  3.53754679E-02
   9.20036801E-04  3.56721379E-03  3.69778230E-02
   9.60038402E-04  3.88377980E-03  3.85794292E-02
   1.00004000E-03  4.21375248E-03  4.01802541E-02
   1.04004160E-03  4.55712381E-03  4.17802653E-02
   1.08004320E-03  4.91388543E-03  4.33794304E-02
   1.12004480E-03  5.28402868E-03  4.49777170E-02
   1.16004640E-03  5.66754456E-03  4.65750927E-02
   1.20004800E-03  6.06442374E-03  4.81715252E-02
   1.24004960E-03  6.47465658E-03  4.97669822E-02
   1.28005120E-03  6.89823310E-03  5.13614313E-02
   1.32005280E-03  7.33514300E-03  5.29548402E-02
   1.36005440E-03  7.78537567E-03  5.45471767E-02
   1.40005600E-03  8.24892015E-03  5.61384086E-02
   1.44005760E-03  8.72576517E-03  5.77285035E-02
   1.48005920E-03  9.21589914E-03  5.93174294E-02
   1.52006080E-03  9.71931015E-03  6.09051540E-02
   1.56006240E-03  1.02359859E-02  6.24916452E-02
   1.60006400E-03  1.07659140E-02  6.40768708E-02
   1.64006560E-03  1.13090813E-02  6.56607987E-02
   1.68006720E-03  1.18654748E-02  6.72433969E-02
   1.72006880E-03  1.24350809E-02  6.88246334E-02
   1.76007040E-03  1.30178857E-02  7.04044760E-02
   1.80007200E-03  1.36138751E-02  7.19828928E-02
   1.84007360E-03  1.42230346E-02  7.35598518E-02
   1.88007520E-03  1.48453493E-02  7.51353212E-02
   1.92007680E-03  1.54808041E-02  7.67092689E-02
   1.96007840E-03  1.61293836E-02  7.82816631E-02
   2.00008000E-03  1.67910720E-02  7.98524721E-02
   2.04008160E-03  1.74658532E-02  8.14216638E-02
   2.08008320E-03  1.81537107E-02  8.29892067E-02
   2.12008480E-03  1.88546279E-02  8.45550689E-02
   2.16008640E-03  1.95685876E-02  8.61192187E-02
   2.20008800E-03  2.02955726E-02  8.76816245E-02
   2.24008960E-03  2.10355650E-02  8.92422545E-02
   2.28009120E-03  2.17885470E-02  9.08010773E-02
   2.32009280E-03  2.25545002E-02  9.23580612E-02
   2.36009440E-03  2.33334059E-02  9.39131747E-02
   2.40009600E-03  2.41252452E-02  9.54663864E-02
   2.44009760E-03  2.49299988E-02  9.70176646E-02
   2.48009920E-03  2.57476471E-02  9.85669781E-02
   2.52010080E-03  2.65781702E-02  1.00114296E-01
   2.56010240E-03  2.74215480E-02  1.01659585E-01
   2.60010400E-03  2.82777598E-02  1.03202817E-01
   2.64010560E-03  2.91467848E-02  1.04743958E-01
   2.68010720E-03  3.00286019E-02  1.06282977E-01
   2.72010880E-03  3.09231896E-02  1.07819845E-01
   2.76011040E-03  3.18305261E-02  1.09354529E-01
   2.80011200E-03  3.27505894E-02  1.10886998E-01
   2.84011360E-03  3.36833569E-02  1.12417222E-01
   2.88011520E-03  3.46288060E-02  1.13945169E-01
   2.92011680E-03  3.55869137E-02  1.15470809E-01
   2.96011840E-03  3.65576566E-02  1.16994110E-01
   3.00012000E-03  3.75410111E-02  1.18515041E-01
   3.04012160E-03  3.85369532E-02  1.20033573E-01
   3.08012320E-03  3.95454587E-02  1.21549674E-01
   3.12012480E-03  4.05665030E-02  1.23063313E-01
   3.16012641E-03  4.16000611E-02  1.24574460E-01
   3.20012801E-03  4.26461080E-02  1.26083084E-01
   3.24012961E-03  4.37046181E-02  1.27589154E-01
   3.28013121E-03  4.47755657E-02  1.29092641E-01
   3.32013281E-03  4.58589246E-02  1.30593514E-01
   3.36013441E-03  4.69546684E-02  1.32091742E-01
   3.40013601E-03  4.80627704E-02  1.33587294E-01
   3.44013761E-03  4.91832036E-02  1.35080142E-01
   3.48013921E-03  5.03159407E-02  1.36570253E-01
   3.52014081E-03  5.14609541E-02  1.38057599E-01
   3.56014241E-03  5.26182158E-02  1.39542149E-01
   3.60014401E-03  5.37876976E-02  1.41023874E-01
   3.64014561E-03  5.49693710E-02  1.42502742E-01
   3.68014721E-03  5.61632072E-02  1.43978724E-01
   3.72014881E-03  5.73691771E-02  1.45451790E-01
   3.76015041E-03  5.85872512E-02  1.46921911E-01
   3.80015201E-03  5.98173998E-02  1.48389057E-01
   3.84015361E-03  6.10595929E-02  1.49853197E-01
   3.88015521E-03  6.23138002E-02  1.51314303E-01
   3.92015681E-03  6.35799912E-02  1.52772344E-01
   3.96015841E-03  6.48581348E-02  1.54227291E-01
   4.00016001E-03  6.61481999E-02  1.55679115E-01
   4.04016161E-03  6.74501550E-02  1.57127786E-01
   4.08016321E-03  6.87639683E-02  1.58573275E-01
   4.12016481E-03  7.00896078E-02  1.60015553E-01
   4.16016641E-03  7.14270411E-02  1.61454590E-01
   4.20016801E-03  7.27762355E-02  1.62890358E-01
   4.24016961E-03  7.41371580E-02  1.64322827E-01
   4.28017121E-03  7.55097755E-02  1.65751967E-01
   4.32017281E-03  7.68940545E-02  1.67177752E-01
   4.36017441E-03  7.82899610E-02  1.68600150E-01
   4.40017601E-03  7.96974610E-02  1.70019134E-01
   4.44017761E-03  8.11165201E-02  1.71434675E-01
   4.48017921E-03  8.25471037E-02  1.72846744E-01
   4.52018081E-03  8.39891767E-02  1.74255313E-01
   4.56018241E-03  8.54427039E-02  1.75660353E-01
   4.60018401E-03  8.69076499E-02  1.77061835E-01
   4.64018561E-03  8.83839787E-02  1.78459732E-01
   4.68018721E-03  8.98716543E-02  1.79854014E-01
   4.72018881E-03  9.13706404E-02  1.81244654E-01
   4.76019041E-03  9.28809002E-02  1.82631624E-01
   4.80019201E-03  9.44023969E-02  1.84014895E-01
   4.84019361E-03  9.59350931E-02  1.85394439E-01
   4.88019521E-03  9.74789515E-02  1.86770229E-01
   4.92019681E-03  9.90339343E-02  1.88142237E-01
   4.96019841E-03  1.00600003E-01  1.89510434E-01
