 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: freepot.in          
 #      Free state: E= 3.905641E+04, K=   1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift= 0.000000000000000E+00  (ETA= 0.000000E+00)
 #      Matching radius: RAD(    4)= 1.200048001920000E-04
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  8.49873699E-05  1.14003087E-02
   8.00032001E-05  3.39923477E-04  2.27977107E-02
   1.20004800E-04  7.64730321E-04  3.41893001E-02
   1.60006400E-04  1.35927793E-03  4.55721726E-02
   2.00008000E-04  2.12338437E-03  5.69434258E-02
   2.40009600E-04  3.05681586E-03  6.83001605E-02
   2.80011200E-04  4.15928674E-03  7.96394812E-02
   3.20012801E-04  5.43045963E-03  9.09584968E-02
   3.60014401E-04  6.86994550E-03  1.02254321E-01
   4.00016001E-04  8.47730374E-03  1.13524075E-01
   4.40017601E-04  1.02520423E-02  1.24764884E-01
   4.80019201E-04  1.21936180E-02  1.35973882E-01
   5.20020801E-04  1.43014362E-02  1.47148212E-01
   5.60022401E-04  1.65748515E-02  1.58285025E-01
   6.00024001E-04  1.90131676E-02  1.69381481E-01
   6.40025601E-04  2.16156378E-02  1.80434751E-01
   6.80027201E-04  2.43814646E-02  1.91442017E-01
   7.20028801E-04  2.73098006E-02  2.02400472E-01
   7.60030401E-04  3.03997483E-02  2.13307322E-01
   8.00032001E-04  3.36503606E-02  2.24159787E-01
   8.40033601E-04  3.70606408E-02  2.34955099E-01
   8.80035201E-04  4.06295431E-02  2.45690506E-01
   9.20036801E-04  4.43559728E-02  2.56363272E-01
   9.60038402E-04  4.82387864E-02  2.66970674E-01
   1.00004000E-03  5.22767926E-02  2.77510008E-01
   1.04004160E-03  5.64687515E-02  2.87978588E-01
   1.08004320E-03  6.08133760E-02  2.98373744E-01
   1.12004480E-03  6.53093317E-02  3.08692825E-01
   1.16004640E-03  6.99552371E-02  3.18933201E-01
   1.20004800E-03  7.47496643E-02  3.29092261E-01
   1.24004960E-03  7.96911393E-02  3.39167414E-01
   1.28005120E-03  8.47781421E-02  3.49156093E-01
   1.32005280E-03  9.00091078E-02  3.59055749E-01
   1.36005440E-03  9.53824263E-02  3.68863859E-01
   1.40005600E-03  1.00896443E-01  3.78577923E-01
   1.44005760E-03  1.06549460E-01  3.88195463E-01
   1.48005920E-03  1.12339734E-01  3.97714027E-01
   1.52006080E-03  1.18265481E-01  4.07131190E-01
   1.56006240E-03  1.24324874E-01  4.16444548E-01
   1.60006400E-03  1.30516041E-01  4.25651729E-01
   1.64006560E-03  1.36837073E-01  4.34750384E-01
   1.68006720E-03  1.43286017E-01  4.43738194E-01
   1.72006880E-03  1.49860879E-01  4.52612867E-01
   1.76007040E-03  1.56559628E-01  4.61372140E-01
   1.80007200E-03  1.63380192E-01  4.70013780E-01
   1.84007360E-03  1.70320458E-01  4.78535584E-01
   1.88007520E-03  1.77378278E-01  4.86935379E-01
   1.92007680E-03  1.84551465E-01  4.95211024E-01
   1.96007840E-03  1.91837795E-01  5.03360408E-01
   2.00008000E-03  1.99235008E-01  5.11381454E-01
   2.04008160E-03  2.06740807E-01  5.19272116E-01
   2.08008320E-03  2.14352862E-01  5.27030383E-01
   2.12008480E-03  2.22068805E-01  5.34654276E-01
   2.16008640E-03  2.29886237E-01  5.42141852E-01
   2.20008800E-03  2.37802725E-01  5.49491203E-01
   2.24008960E-03  2.45815803E-01  5.56700453E-01
   2.28009120E-03  2.53922974E-01  5.63767765E-01
   2.32009280E-03  2.62121707E-01  5.70691337E-01
   2.36009440E-03  2.70409445E-01  5.77469403E-01
   2.40009600E-03  2.78783598E-01  5.84100236E-01
   2.44009760E-03  2.87241547E-01  5.90582146E-01
   2.48009920E-03  2.95780645E-01  5.96913478E-01
   2.52010080E-03  3.04398219E-01  6.03092620E-01
   2.56010240E-03  3.13091566E-01  6.09117995E-01
   2.60010400E-03  3.21857960E-01  6.14988067E-01
   2.64010560E-03  3.30694646E-01  6.20701340E-01
   2.68010720E-03  3.39598848E-01  6.26256357E-01
   2.72010880E-03  3.48567763E-01  6.31651702E-01
   2.76011040E-03  3.57598568E-01  6.36885999E-01
   2.80011200E-03  3.66688414E-01  6.41957913E-01
   2.84011360E-03  3.75834433E-01  6.46866152E-01
   2.88011520E-03  3.85033736E-01  6.51609463E-01
   2.92011680E-03  3.94283412E-01  6.56186639E-01
   2.96011840E-03  4.03580533E-01  6.60596510E-01
   3.00012000E-03  4.12922153E-01  6.64837954E-01
   3.04012160E-03  4.22305305E-01  6.68909889E-01
   3.08012320E-03  4.31727010E-01  6.72811276E-01
   3.12012480E-03  4.41184268E-01  6.76541122E-01
   3.16012641E-03  4.50674068E-01  6.80098474E-01
   3.20012801E-03  4.60193383E-01  6.83482426E-01
   3.24012961E-03  4.69739172E-01  6.86692115E-01
   3.28013121E-03  4.79308384E-01  6.89726723E-01
   3.32013281E-03  4.88897952E-01  6.92585476E-01
   3.36013441E-03  4.98504801E-01  6.95267646E-01
   3.40013601E-03  5.08125846E-01  6.97772547E-01
   3.44013761E-03  5.17757992E-01  7.00099542E-01
   3.48013921E-03  5.27398135E-01  7.02248038E-01
   3.52014081E-03  5.37043166E-01  7.04217486E-01
   3.56014241E-03  5.46689966E-01  7.06007385E-01
   3.60014401E-03  5.56335412E-01  7.07617278E-01
   3.64014561E-03  5.65976377E-01  7.09046754E-01
   3.68014721E-03  5.75609728E-01  7.10295450E-01
   3.72014881E-03  5.85232330E-01  7.11363047E-01
   3.76015041E-03  5.94841045E-01  7.12249272E-01
   3.80015201E-03  6.04432735E-01  7.12953899E-01
   3.84015361E-03  6.14004260E-01  7.13476750E-01
   3.88015521E-03  6.23552481E-01  7.13817691E-01
   3.92015681E-03  6.33074259E-01  7.13976634E-01
   3.96015841E-03  6.42566459E-01  7.13953539E-01
   4.00016001E-03  6.52025948E-01  7.13748413E-01
   4.04016161E-03  6.61449596E-01  7.13361307E-01
   4.08016321E-03  6.70834279E-01  7.12792320E-01
   4.12016481E-03  6.80176878E-01  7.12041597E-01
   4.16016641E-03  6.89474280E-01  7.11109330E-01
   4.20016801E-03  6.98723381E-01  7.09995756E-01
   4.24016961E-03  7.07921081E-01  7.08701159E-01
   4.28017121E-03  7.17064295E-01  7.07225870E-01
   4.32017281E-03  7.26149943E-01  7.05570264E-01
   4.36017441E-03  7.35174957E-01  7.03734764E-01
   4.40017601E-03  7.44136283E-01  7.01719837E-01
   4.44017761E-03  7.53030876E-01  6.99525998E-01
   4.48017921E-03  7.61855706E-01  6.97153805E-01
   4.52018081E-03  7.70607758E-01  6.94603863E-01
   4.56018241E-03  7.79284030E-01  6.91876823E-01
   4.60018401E-03  7.87881537E-01  6.88973380E-01
   4.64018561E-03  7.96397311E-01  6.85894274E-01
   4.68018721E-03  8.04828400E-01  6.82640291E-01
   4.72018881E-03  8.13171873E-01  6.79212259E-01
   4.76019041E-03  8.21424816E-01  6.75611053E-01
   4.80019201E-03  8.29584335E-01  6.71837591E-01
   4.84019361E-03  8.37647558E-01  6.67892835E-01
   4.88019521E-03  8.45611634E-01  6.63777792E-01
   4.92019681E-03  8.53473735E-01  6.59493509E-01
   4.96019841E-03  8.61231054E-01  6.55041080E-01
   5.00020001E-03  8.68880812E-01  6.50421639E-01
   5.04020161E-03  8.76420251E-01  6.45636365E-01
   5.08020321E-03  8.83846641E-01  6.40686477E-01
   5.12020481E-03  8.91157277E-01  6.35573238E-01
   5.16020641E-03  8.98349482E-01  6.30297951E-01
   5.20020801E-03  9.05420607E-01  6.24861961E-01
   5.24020961E-03  9.12368031E-01  6.19266654E-01
   5.28021121E-03  9.19189162E-01  6.13513457E-01
   5.32021281E-03  9.25881441E-01  6.07603837E-01
   5.36021441E-03  9.32442335E-01  6.01539301E-01
   5.40021601E-03  9.38869347E-01  5.95321393E-01
   5.44021761E-03  9.45160011E-01  5.88951701E-01
   5.48021921E-03  9.51311893E-01  5.82431848E-01
   5.52022081E-03  9.57322594E-01  5.75763496E-01
   5.56022241E-03  9.63189748E-01  5.68948346E-01
   5.60022401E-03  9.68911026E-01  5.61988134E-01
   5.64022561E-03  9.74484134E-01  5.54884637E-01
   5.68022721E-03  9.79906814E-01  5.47639664E-01
   5.72022881E-03  9.85176845E-01  5.40255064E-01
   5.76023041E-03  9.90292045E-01  5.32732718E-01
