 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: freepot.in          
 #      Free state: E= 1.456383E+02, K=   1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift= 0.000000000000000E+00  (ETA= 0.000000E+00)
 #      Matching radius: RAD(    4)= 1.200048001920000E-04
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  1.55962409E-07  4.25126651E-05
   8.00032001E-05  6.23849550E-07  8.50253104E-05
   1.20004800E-04  1.40366116E-06  1.27537916E-04
   1.60006400E-04  2.49539680E-06  1.70050462E-04
   2.00008000E-04  3.89905586E-06  2.12562928E-04
   2.40009600E-04  5.61463754E-06  2.55075295E-04
   2.80011200E-04  7.64214090E-06  2.97587542E-04
   3.20012801E-04  9.98156478E-06  3.40099650E-04
   3.60014401E-04  1.26329079E-05  3.82611599E-04
   4.00016001E-04  1.55961687E-05  4.25123369E-04
   4.40017601E-04  1.88713456E-05  4.67634941E-04
   4.80019201E-04  2.24584367E-05  5.10146293E-04
   5.20020801E-04  2.63574400E-05  5.52657407E-04
   5.60022401E-04  3.05683533E-05  5.95168262E-04
   6.00024001E-04  3.50911743E-05  6.37678838E-04
   6.40025601E-04  3.99259004E-05  6.80189116E-04
   6.80027201E-04  4.50725289E-05  7.22699076E-04
   7.20028801E-04  5.05310570E-05  7.65208698E-04
   7.60030401E-04  5.63014814E-05  8.07717962E-04
   8.00032001E-04  6.23837991E-05  8.50226848E-04
   8.40033601E-04  6.87780066E-05  8.92735336E-04
   8.80035201E-04  7.54841003E-05  9.35243406E-04
   9.20036801E-04  8.25020764E-05  9.77751039E-04
   9.60038402E-04  8.98319310E-05  1.02025821E-03
   1.00004000E-03  9.74736600E-05  1.06276491E-03
   1.04004160E-03  1.05427259E-04  1.10527111E-03
   1.08004320E-03  1.13692724E-04  1.14777680E-03
   1.12004480E-03  1.22270049E-04  1.19028194E-03
   1.16004640E-03  1.31159231E-04  1.23278653E-03
   1.20004800E-03  1.40360264E-04  1.27529055E-03
   1.24004960E-03  1.49873143E-04  1.31779396E-03
   1.28005120E-03  1.59697863E-04  1.36029676E-03
   1.32005280E-03  1.69834418E-04  1.40279892E-03
   1.36005440E-03  1.80282802E-04  1.44530043E-03
   1.40005600E-03  1.91043010E-04  1.48780126E-03
   1.44005760E-03  2.02115036E-04  1.53030140E-03
   1.48005920E-03  2.13498872E-04  1.57280081E-03
   1.52006080E-03  2.25194514E-04  1.61529950E-03
   1.56006240E-03  2.37201954E-04  1.65779742E-03
   1.60006400E-03  2.49521186E-04  1.70029457E-03
   1.64006560E-03  2.62152203E-04  1.74279093E-03
   1.68006720E-03  2.75094997E-04  1.78528647E-03
   1.72006880E-03  2.88349561E-04  1.82778117E-03
   1.76007040E-03  3.01915889E-04  1.87027502E-03
   1.80007200E-03  3.15793971E-04  1.91276800E-03
   1.84007360E-03  3.29983802E-04  1.95526008E-03
   1.88007520E-03  3.44485371E-04  1.99775124E-03
   1.92007680E-03  3.59298673E-04  2.04024147E-03
   1.96007840E-03  3.74423697E-04  2.08273075E-03
   2.00008000E-03  3.89860436E-04  2.12521905E-03
   2.04008160E-03  4.05608880E-04  2.16770635E-03
   2.08008320E-03  4.21669022E-04  2.21019265E-03
   2.12008480E-03  4.38040852E-04  2.25267791E-03
   2.16008640E-03  4.54724361E-04  2.29516211E-03
   2.20008800E-03  4.71719539E-04  2.33764524E-03
   2.24008960E-03  4.89026377E-04  2.38012728E-03
   2.28009120E-03  5.06644866E-04  2.42260820E-03
   2.32009280E-03  5.24574995E-04  2.46508799E-03
   2.36009440E-03  5.42816754E-04  2.50756662E-03
   2.40009600E-03  5.61370133E-04  2.55004409E-03
   2.44009760E-03  5.80235122E-04  2.59252036E-03
   2.48009920E-03  5.99411710E-04  2.63499541E-03
   2.52010080E-03  6.18899886E-04  2.67746924E-03
   2.56010240E-03  6.38699639E-04  2.71994181E-03
   2.60010400E-03  6.58810959E-04  2.76241311E-03
   2.64010560E-03  6.79233833E-04  2.80488311E-03
   2.68010720E-03  6.99968251E-04  2.84735181E-03
   2.72010880E-03  7.21014201E-04  2.88981917E-03
   2.76011040E-03  7.42371671E-04  2.93228518E-03
   2.80011200E-03  7.64040648E-04  2.97474981E-03
   2.84011360E-03  7.86021122E-04  3.01721306E-03
   2.88011520E-03  8.08313079E-04  3.05967489E-03
   2.92011680E-03  8.30916507E-04  3.10213529E-03
   2.96011840E-03  8.53831393E-04  3.14459424E-03
   3.00012000E-03  8.77057725E-04  3.18705172E-03
   3.04012160E-03  9.00595489E-04  3.22950771E-03
   3.08012320E-03  9.24444672E-04  3.27196219E-03
   3.12012480E-03  9.48605261E-04  3.31441513E-03
   3.16012641E-03  9.73077242E-04  3.35686653E-03
   3.20012801E-03  9.97860602E-04  3.39931635E-03
   3.24012961E-03  1.02295533E-03  3.44176459E-03
   3.28013121E-03  1.04836140E-03  3.48421121E-03
   3.32013281E-03  1.07407881E-03  3.52665621E-03
   3.36013441E-03  1.10010754E-03  3.56909955E-03
   3.40013601E-03  1.12644758E-03  3.61154122E-03
   3.44013761E-03  1.15309892E-03  3.65398121E-03
   3.48013921E-03  1.18006153E-03  3.69641948E-03
   3.52014081E-03  1.20733540E-03  3.73885602E-03
   3.56014241E-03  1.23492052E-03  3.78129082E-03
   3.60014401E-03  1.26281687E-03  3.82372385E-03
   3.64014561E-03  1.29102443E-03  3.86615508E-03
   3.68014721E-03  1.31954320E-03  3.90858451E-03
   3.72014881E-03  1.34837315E-03  3.95101211E-03
   3.76015041E-03  1.37751426E-03  3.99343786E-03
   3.80015201E-03  1.40696653E-03  4.03586174E-03
   3.84015361E-03  1.43672994E-03  4.07828374E-03
   3.88015521E-03  1.46680446E-03  4.12070382E-03
   3.92015681E-03  1.49719008E-03  4.16312198E-03
   3.96015841E-03  1.52788679E-03  4.20553819E-03
   4.00016001E-03  1.55889456E-03  4.24795243E-03
   4.04016161E-03  1.59021338E-03  4.29036469E-03
   4.08016321E-03  1.62184324E-03  4.33277493E-03
   4.12016481E-03  1.65378411E-03  4.37518315E-03
   4.16016641E-03  1.68603597E-03  4.41758933E-03
   4.20016801E-03  1.71859882E-03  4.45999343E-03
   4.24016961E-03  1.75147262E-03  4.50239545E-03
   4.28017121E-03  1.78465737E-03  4.54479536E-03
   4.32017281E-03  1.81815303E-03  4.58719315E-03
   4.36017441E-03  1.85195961E-03  4.62958879E-03
   4.40017601E-03  1.88607706E-03  4.67198226E-03
   4.44017761E-03  1.92050539E-03  4.71437355E-03
   4.48017921E-03  1.95524455E-03  4.75676263E-03
   4.52018081E-03  1.99029455E-03  4.79914949E-03
   4.56018241E-03  2.02565535E-03  4.84153410E-03
   4.60018401E-03  2.06132694E-03  4.88391644E-03
   4.64018561E-03  2.09730930E-03  4.92629650E-03
   4.68018721E-03  2.13360241E-03  4.96867426E-03
   4.72018881E-03  2.17020624E-03  5.01104969E-03
   4.76019041E-03  2.20712078E-03  5.05342278E-03
   4.80019201E-03  2.24434600E-03  5.09579350E-03
   4.84019361E-03  2.28188189E-03  5.13816183E-03
   4.88019521E-03  2.31972842E-03  5.18052777E-03
   4.92019681E-03  2.35788557E-03  5.22289128E-03
   4.96019841E-03  2.39635333E-03  5.26525234E-03
   5.00020001E-03  2.43513166E-03  5.30761094E-03
   5.04020161E-03  2.47422055E-03  5.34996706E-03
   5.08020321E-03  2.51361998E-03  5.39232068E-03
   5.12020481E-03  2.55332992E-03  5.43467177E-03
   5.16020641E-03  2.59335035E-03  5.47702032E-03
   5.20020801E-03  2.63368125E-03  5.51936631E-03
   5.24020961E-03  2.67432260E-03  5.56170971E-03
   5.28021121E-03  2.71527437E-03  5.60405051E-03
   5.32021281E-03  2.75653654E-03  5.64638869E-03
   5.36021441E-03  2.79810908E-03  5.68872423E-03
   5.40021601E-03  2.83999199E-03  5.73105711E-03
   5.44021761E-03  2.88218522E-03  5.77338731E-03
   5.48021921E-03  2.92468875E-03  5.81571480E-03
   5.52022081E-03  2.96750257E-03  5.85803957E-03
   5.56022241E-03  3.01062665E-03  5.90036160E-03
   5.60022401E-03  3.05406096E-03  5.94268088E-03
   5.64022561E-03  3.09780548E-03  5.98499737E-03
   5.68022721E-03  3.14186019E-03  6.02731106E-03
   5.72022881E-03  3.18622506E-03  6.06962193E-03
   5.76023041E-03  3.23090006E-03  6.11192996E-03
   5.80023201E-03  3.27588518E-03  6.15423513E-03
   5.84023361E-03  3.32118037E-03  6.19653742E-03
   5.88023521E-03  3.36678563E-03  6.23883681E-03
   5.92023681E-03  3.41270093E-03  6.28113328E-03
   5.96023841E-03  3.45892623E-03  6.32342682E-03
   6.00024001E-03  3.50546151E-03  6.36571739E-03
   6.04024161E-03  3.55230676E-03  6.40800499E-03
   6.08024321E-03  3.59946193E-03  6.45028959E-03
   6.12024481E-03  3.64692700E-03  6.49257117E-03
   6.16024641E-03  3.69470195E-03  6.53484971E-03
   6.20024801E-03  3.74278676E-03  6.57712520E-03
   6.24024961E-03  3.79118138E-03  6.61939761E-03
   6.28025121E-03  3.83988580E-03  6.66166692E-03
   6.32025281E-03  3.88889999E-03  6.70393311E-03
   6.36025441E-03  3.93822392E-03  6.74619617E-03
   6.40025601E-03  3.98785757E-03  6.78845607E-03
   6.44025761E-03  4.03780089E-03  6.83071279E-03
   6.48025921E-03  4.08805388E-03  6.87296632E-03
   6.52026081E-03  4.13861650E-03  6.91521663E-03
   6.56026241E-03  4.18948871E-03  6.95746371E-03
   6.60026401E-03  4.24067050E-03  6.99970753E-03
   6.64026561E-03  4.29216184E-03  7.04194808E-03
   6.68026721E-03  4.34396268E-03  7.08418533E-03
   6.72026881E-03  4.39607302E-03  7.12641927E-03
   6.76027041E-03  4.44849281E-03  7.16864987E-03
   6.80027201E-03  4.50122202E-03  7.21087712E-03
   6.84027361E-03  4.55426063E-03  7.25310100E-03
   6.88027521E-03  4.60760861E-03  7.29532148E-03
   6.92027681E-03  4.66126593E-03  7.33753855E-03
   6.96027841E-03  4.71523256E-03  7.37975218E-03
   7.00028001E-03  4.76950846E-03  7.42196236E-03
   7.04028161E-03  4.82409361E-03  7.46416907E-03
   7.08028321E-03  4.87898797E-03  7.50637229E-03
   7.12028481E-03  4.93419152E-03  7.54857199E-03
   7.16028641E-03  4.98970423E-03  7.59076817E-03
   7.20028801E-03  5.04552605E-03  7.63296079E-03
   7.24028961E-03  5.10165697E-03  7.67514984E-03
   7.28029121E-03  5.15809695E-03  7.71733530E-03
   7.32029281E-03  5.21484595E-03  7.75951715E-03
   7.36029441E-03  5.27190395E-03  7.80169536E-03
   7.40029601E-03  5.32927092E-03  7.84386993E-03
   7.44029761E-03  5.38694682E-03  7.88604083E-03
   7.48029921E-03  5.44493162E-03  7.92820803E-03
   7.52030081E-03  5.50322528E-03  7.97037153E-03
   7.56030241E-03  5.56182778E-03  8.01253130E-03
   7.60030401E-03  5.62073909E-03  8.05468732E-03
   7.64030561E-03  5.67995916E-03  8.09683957E-03
   7.68030721E-03  5.73948796E-03  8.13898803E-03
   7.72030881E-03  5.79932547E-03  8.18113269E-03
   7.76031041E-03  5.85947164E-03  8.22327351E-03
   7.80031201E-03  5.91992645E-03  8.26541049E-03
   7.84031361E-03  5.98068986E-03  8.30754360E-03
