 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: freepot.in          
 #      Free state: E= 1.926178E+02, K=   1  (EPS= 1.0E-15)
 #        Inner phase shift=-0.000000000000000E+00
 #      Coulomb phase shift= 0.000000000000000E+00  (ETA= 0.000000E+00)
 #      Matching radius: RAD(    4)= 1.200048001920000E-04
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  2.06529252E-07  5.62262548E-05
   8.00032001E-05  8.26116853E-07  1.12452475E-04
   1.20004800E-04  1.85876234E-06  1.68678625E-04
   1.60006400E-04  3.30446495E-06  2.24904671E-04
   2.00008000E-04  5.16322361E-06  2.81130577E-04
   2.40009600E-04  7.43503693E-06  3.37356309E-04
   2.80011200E-04  1.01199032E-05  3.93581832E-04
   3.20012801E-04  1.32178205E-05  4.49807112E-04
   3.60014401E-04  1.67287865E-05  5.06032112E-04
   4.00016001E-04  2.06527985E-05  5.62256799E-04
   4.40017601E-04  2.49898536E-05  6.18481138E-04
   4.80019201E-04  2.97399487E-05  6.74705094E-04
   5.20020801E-04  3.49030802E-05  7.30928631E-04
   5.60022401E-04  4.04792442E-05  7.87151716E-04
   6.00024001E-04  4.64684367E-05  8.43374313E-04
   6.40025601E-04  5.28706531E-05  8.99596387E-04
   6.80027201E-04  5.96858886E-05  9.55817904E-04
   7.20028801E-04  6.69141383E-05  1.01203883E-03
   7.60030401E-04  7.45553968E-05  1.06825913E-03
   8.00032001E-04  8.26096583E-05  1.12447876E-03
   8.40033601E-04  9.10769170E-05  1.18069770E-03
   8.80035201E-04  9.99571664E-05  1.23691591E-03
   9.20036801E-04  1.09250400E-04  1.29313335E-03
   9.60038402E-04  1.18956611E-04  1.34934999E-03
   1.00004000E-03  1.29075792E-04  1.40556579E-03
   1.04004160E-03  1.39607935E-04  1.46178073E-03
   1.08004320E-03  1.50553033E-04  1.51799475E-03
   1.12004480E-03  1.61911078E-04  1.57420784E-03
   1.16004640E-03  1.73682061E-04  1.63041995E-03
   1.20004800E-03  1.85865973E-04  1.68663105E-03
   1.24004960E-03  1.98462806E-04  1.74284111E-03
   1.28005120E-03  2.11472549E-04  1.79905009E-03
   1.32005280E-03  2.24895194E-04  1.85525795E-03
   1.36005440E-03  2.38730730E-04  1.91146466E-03
   1.40005600E-03  2.52979147E-04  1.96767019E-03
   1.44005760E-03  2.67640434E-04  2.02387450E-03
   1.48005920E-03  2.82714581E-04  2.08007755E-03
   1.52006080E-03  2.98201577E-04  2.13627932E-03
   1.56006240E-03  3.14101409E-04  2.19247976E-03
   1.60006400E-03  3.30414066E-04  2.24867885E-03
   1.64006560E-03  3.47139535E-04  2.30487654E-03
   1.68006720E-03  3.64277806E-04  2.36107280E-03
   1.72006880E-03  3.81828864E-04  2.41726760E-03
   1.76007040E-03  3.99792696E-04  2.47346090E-03
   1.80007200E-03  4.18169290E-04  2.52965267E-03
