 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: freepot.in          
 #      Free state: E= 4.171821E+03, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift= 0.000000000000000E+00  (ETA= 0.000000E+00)
 #      Matching radius: RAD(    4)= 1.200048001920000E-04
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  3.85146826E-03 -1.56341360E-06
   8.00032001E-05  7.70287940E-03 -6.25362655E-06
   1.20004800E-04  1.15541763E-02 -1.40705554E-05
   1.60006400E-04  1.54053017E-02 -2.50140609E-05
   2.00008000E-04  1.92561987E-02 -3.90839484E-05
   2.40009600E-04  2.31068100E-02 -5.62799674E-05
   2.80011200E-04  2.69570786E-02 -7.66018117E-05
   3.20012801E-04  3.08069472E-02 -1.00049120E-04
   3.60014401E-04  3.46563589E-02 -1.26621474E-04
   4.00016001E-04  3.85052565E-02 -1.56318401E-04
   4.40017601E-04  4.23535829E-02 -1.89139373E-04
   4.80019201E-04  4.62012811E-02 -2.25083805E-04
   5.20020801E-04  5.00482939E-02 -2.64151058E-04
   5.60022401E-04  5.38945643E-02 -3.06340436E-04
   6.00024001E-04  5.77400352E-02 -3.51651188E-04
   6.40025601E-04  6.15846496E-02 -4.00082507E-04
   6.80027201E-04  6.54283505E-02 -4.51633531E-04
   7.20028801E-04  6.92710808E-02 -5.06303343E-04
   7.60030401E-04  7.31127836E-02 -5.64090969E-04
   8.00032001E-04  7.69534018E-02 -6.24995380E-04
   8.40033601E-04  8.07928785E-02 -6.89015493E-04
   8.80035201E-04  8.46311568E-02 -7.56150167E-04
   9.20036801E-04  8.84681796E-02 -8.26398207E-04
   9.60038402E-04  9.23038901E-02 -8.99758363E-04
   1.00004000E-03  9.61382314E-02 -9.76229328E-04
   1.04004160E-03  9.99711466E-02 -1.05580974E-03
   1.08004320E-03  1.03802579E-01 -1.13849819E-03
   1.12004480E-03  1.07632471E-01 -1.22429319E-03
   1.16004640E-03  1.11460767E-01 -1.31319322E-03
   1.20004800E-03  1.15287410E-01 -1.40519671E-03
   1.24004960E-03  1.19112342E-01 -1.50030200E-03
   1.28005120E-03  1.22935507E-01 -1.59850741E-03
   1.32005280E-03  1.26756849E-01 -1.69981119E-03
   1.36005440E-03  1.30576310E-01 -1.80421153E-03
   1.40005600E-03  1.34393835E-01 -1.91170658E-03
   1.44005760E-03  1.38209366E-01 -2.02229441E-03
   1.48005920E-03  1.42022847E-01 -2.13597307E-03
   1.52006080E-03  1.45834221E-01 -2.25274053E-03
   1.56006240E-03  1.49643431E-01 -2.37259471E-03
   1.60006400E-03  1.53450422E-01 -2.49553346E-03
   1.64006560E-03  1.57255137E-01 -2.62155462E-03
   1.68006720E-03  1.61057519E-01 -2.75065592E-03
   1.72006880E-03  1.64857512E-01 -2.88283507E-03
   1.76007040E-03  1.68655059E-01 -3.01808972E-03
   1.80007200E-03  1.72450105E-01 -3.15641745E-03
   1.84007360E-03  1.76242592E-01 -3.29781581E-03
   1.88007520E-03  1.80032466E-01 -3.44228227E-03
   1.92007680E-03  1.83819668E-01 -3.58981426E-03
   1.96007840E-03  1.87604144E-01 -3.74040915E-03
   2.00008000E-03  1.91385837E-01 -3.89406427E-03
   2.04008160E-03  1.95164691E-01 -4.05077687E-03
   2.08008320E-03  1.98940650E-01 -4.21054415E-03
   2.12008480E-03  2.02713657E-01 -4.37336329E-03
   2.16008640E-03  2.06483658E-01 -4.53923136E-03
   2.20008800E-03  2.10250596E-01 -4.70814543E-03
   2.24008960E-03  2.14014415E-01 -4.88010247E-03
   2.28009120E-03  2.17775059E-01 -5.05509943E-03
   2.32009280E-03  2.21532473E-01 -5.23313319E-03
   2.36009440E-03  2.25286601E-01 -5.41420057E-03
   2.40009600E-03  2.29037387E-01 -5.59829834E-03
   2.44009760E-03  2.32784775E-01 -5.78542324E-03
   2.48009920E-03  2.36528710E-01 -5.97557191E-03
   2.52010080E-03  2.40269137E-01 -6.16874098E-03
