 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 8.325954E+01, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift=-2.562404734040227E+00  (ETA=-4.354080E+00)
 #      Matching radius: RAD(  299)= 1.192047681907280E-02
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.12016481E-03  2.55752820E-01 -6.02765665E-02
   4.16016641E-03  2.57327952E-01 -6.07112287E-02
   4.20016801E-03  2.58890201E-01 -6.11438142E-02
   4.24016961E-03  2.60439630E-01 -6.15743325E-02
   4.28017121E-03  2.61976302E-01 -6.20027933E-02
   4.32017281E-03  2.63500279E-01 -6.24292058E-02
   4.36017441E-03  2.65011620E-01 -6.28535794E-02
   4.40017601E-03  2.66510386E-01 -6.32759232E-02
   4.44017761E-03  2.67996637E-01 -6.36962462E-02
   4.48017921E-03  2.69470431E-01 -6.41145573E-02
   4.52018081E-03  2.70931828E-01 -6.45308654E-02
   4.56018241E-03  2.72380885E-01 -6.49451792E-02
   4.60018401E-03  2.73817660E-01 -6.53575072E-02
   4.64018561E-03  2.75242208E-01 -6.57678579E-02
   4.68018721E-03  2.76654587E-01 -6.61762398E-02
   4.72018881E-03  2.78054852E-01 -6.65826610E-02
   4.76019041E-03  2.79443058E-01 -6.69871300E-02
   4.80019201E-03  2.80819259E-01 -6.73896547E-02
   4.84019361E-03  2.82183511E-01 -6.77902431E-02
   4.88019521E-03  2.83535866E-01 -6.81889032E-02
   4.92019681E-03  2.84876378E-01 -6.85856429E-02
   4.96019841E-03  2.86205099E-01 -6.89804699E-02
   5.00020001E-03  2.87522083E-01 -6.93733918E-02
   5.04020161E-03  2.88827380E-01 -6.97644164E-02
   5.08020321E-03  2.90121042E-01 -7.01535510E-02
   5.12020481E-03  2.91403120E-01 -7.05408032E-02
   5.16020641E-03  2.92673665E-01 -7.09261803E-02
   5.20020801E-03  2.93932727E-01 -7.13096896E-02
   5.24020961E-03  2.95180355E-01 -7.16913383E-02
   5.28021121E-03  2.96416600E-01 -7.20711336E-02
   5.32021281E-03  2.97641509E-01 -7.24490826E-02
   5.36021441E-03  2.98855132E-01 -7.28251922E-02
   5.40021601E-03  3.00057517E-01 -7.31994695E-02
   5.44021761E-03  3.01248711E-01 -7.35719213E-02
   5.48021921E-03  3.02428763E-01 -7.39425544E-02
