 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 1.276465E+04, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift=-0.000000000000000E+00
 #      Coulomb phase shift= 3.431826219877605E-01  (ETA=-5.086024E-01)
 #      Matching radius: RAD(   12)= 4.400176007040000E-04
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  2.25419505E-02 -4.85129333E-03
   8.00032001E-05  4.22750194E-02 -9.16422707E-03
   1.20004800E-04  6.09726748E-02 -1.33131892E-02
   1.60006400E-04  7.89750145E-02 -1.73684262E-02
   2.00008000E-04  9.64388548E-02 -2.13617082E-02
   2.40009600E-04  1.13454798E-01 -2.53110105E-02
   2.80011200E-04  1.30081861E-01 -2.92277750E-02
   3.20012801E-04  1.46361516E-01 -3.31198403E-02
   3.60014401E-04  1.62324478E-01 -3.69928509E-02
   4.00016001E-04  1.77994396E-01 -4.08510201E-02
   4.40017601E-04  1.93390028E-01 -4.46975766E-02
   4.80019201E-04  2.08526607E-01 -4.85350452E-02
   5.20020801E-04  2.23416742E-01 -5.23654299E-02
   5.60022401E-04  2.38071043E-01 -5.61903397E-02
   6.00024001E-04  2.52498550E-01 -6.00110769E-02
   6.40025601E-04  2.66707064E-01 -6.38287016E-02
   6.80027201E-04  2.80703376E-01 -6.76440792E-02
   7.20028801E-04  2.94493454E-01 -7.14579163E-02
   7.60030401E-04  3.08082582E-01 -7.52707893E-02
   8.00032001E-04  3.21475473E-01 -7.90831652E-02
   8.40033601E-04  3.34676350E-01 -8.28954196E-02
   8.80035201E-04  3.47689027E-01 -8.67078503E-02
   9.20036801E-04  3.60516959E-01 -9.05206888E-02
   9.60038402E-04  3.73163295E-01 -9.43341092E-02
   1.00004000E-03  3.85630914E-01 -9.81482360E-02
   1.04004160E-03  3.97922461E-01 -1.01963151E-01
   1.08004320E-03  4.10040375E-01 -1.05778897E-01
   1.12004480E-03  4.21986910E-01 -1.09595486E-01
   1.16004640E-03  4.33764159E-01 -1.13412897E-01
   1.20004800E-03  4.45374071E-01 -1.17231087E-01
   1.24004960E-03  4.56818463E-01 -1.21049986E-01
   1.28005120E-03  4.68099039E-01 -1.24869507E-01
   1.32005280E-03  4.79217396E-01 -1.28689542E-01
   1.36005440E-03  4.90175036E-01 -1.32509966E-01
   1.40005600E-03  5.00973379E-01 -1.36330641E-01
   1.44005760E-03  5.11613763E-01 -1.40151415E-01
   1.48005920E-03  5.22097459E-01 -1.43972122E-01
   1.52006080E-03  5.32425671E-01 -1.47792586E-01
   1.56006240E-03  5.42599547E-01 -1.51612622E-01
   1.60006400E-03  5.52620180E-01 -1.55432035E-01
   1.64006560E-03  5.62488613E-01 -1.59250621E-01
   1.68006720E-03  5.72205845E-01 -1.63068170E-01
   1.72006880E-03  5.81772835E-01 -1.66884462E-01
   1.76007040E-03  5.91190502E-01 -1.70699276E-01
   1.80007200E-03  6.00459729E-01 -1.74512379E-01
   1.84007360E-03  6.09581371E-01 -1.78323538E-01
   1.88007520E-03  6.18556250E-01 -1.82132511E-01
   1.92007680E-03  6.27385160E-01 -1.85939055E-01
   1.96007840E-03  6.36068873E-01 -1.89742922E-01
   2.00008000E-03  6.44608135E-01 -1.93543858E-01
   2.04008160E-03  6.53003671E-01 -1.97341609E-01
   2.08008320E-03  6.61256187E-01 -2.01135916E-01
   2.12008480E-03  6.69366369E-01 -2.04926518E-01
   2.16008640E-03  6.77334888E-01 -2.08713151E-01
   2.20008800E-03  6.85162397E-01 -2.12495548E-01
   2.24008960E-03  6.92849536E-01 -2.16273441E-01
   2.28009120E-03  7.00396931E-01 -2.20046561E-01
   2.32009280E-03  7.07805195E-01 -2.23814635E-01
   2.36009440E-03  7.15074932E-01 -2.27577390E-01
   2.40009600E-03  7.22206732E-01 -2.31334551E-01
   2.44009760E-03  7.29201177E-01 -2.35085842E-01
   2.48009920E-03  7.36058841E-01 -2.38830986E-01
   2.52010080E-03  7.42780288E-01 -2.42569705E-01
   2.56010240E-03  7.49366074E-01 -2.46301721E-01
   2.60010400E-03  7.55816750E-01 -2.50026753E-01
   2.64010560E-03  7.62132859E-01 -2.53744522E-01
   2.68010720E-03  7.68314940E-01 -2.57454747E-01
   2.72010880E-03  7.74363525E-01 -2.61157147E-01
   2.76011040E-03  7.80279140E-01 -2.64851442E-01
   2.80011200E-03  7.86062311E-01 -2.68537348E-01
   2.84011360E-03  7.91713555E-01 -2.72214586E-01
   2.88011520E-03  7.97233389E-01 -2.75882874E-01
   2.92011680E-03  8.02622326E-01 -2.79541929E-01
   2.96011840E-03  8.07880874E-01 -2.83191471E-01
   3.00012000E-03  8.13009542E-01 -2.86831218E-01
   3.04012160E-03  8.18008834E-01 -2.90460889E-01
   3.08012320E-03  8.22879254E-01 -2.94080204E-01
   3.12012480E-03  8.27621303E-01 -2.97688883E-01
   3.16012641E-03  8.32235482E-01 -3.01286646E-01
   3.20012801E-03  8.36722290E-01 -3.04873213E-01
   3.24012961E-03  8.41082225E-01 -3.08448305E-01
   3.28013121E-03  8.45315785E-01 -3.12011645E-01
   3.32013281E-03  8.49423468E-01 -3.15562955E-01
   3.36013441E-03  8.53405771E-01 -3.19101958E-01
   3.40013601E-03  8.57263191E-01 -3.22628377E-01
   3.44013761E-03  8.60996224E-01 -3.26141939E-01
   3.48013921E-03  8.64605370E-01 -3.29642367E-01
   3.52014081E-03  8.68091126E-01 -3.33129389E-01
