 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: freepot.in          
 #      Free state: E= 1.276465E+04, K=   1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift= 0.000000000000000E+00  (ETA= 0.000000E+00)
 #      Matching radius: RAD(    4)= 1.200048001920000E-04
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  1.82445011E-05  3.72604216E-03
   8.00032001E-05  7.29768061E-05  7.45188037E-03
   1.20004800E-04  1.64193320E-04  1.11773107E-02
   1.60006400E-04  2.91888052E-04  1.49021293E-02
   2.00008000E-04  4.56052615E-04  1.86261322E-02
   2.40009600E-04  6.56676226E-04  2.23491157E-02
   2.80011200E-04  8.93745707E-04  2.60708759E-02
   3.20012801E-04  1.16724549E-03  2.97912091E-02
   3.60014401E-04  1.47715760E-03  3.35099118E-02
   4.00016001E-04  1.82346169E-03  3.72267804E-02
   4.40017601E-04  2.20613502E-03  4.09416114E-02
   4.80019201E-04  2.62515243E-03  4.46542015E-02
   5.20020801E-04  3.08048641E-03  4.83643476E-02
   5.60022401E-04  3.57210705E-03  5.20718465E-02
   6.00024001E-04  4.09998204E-03  5.57764953E-02
   6.40025601E-04  4.66407672E-03  5.94780912E-02
   6.80027201E-04  5.26435401E-03  6.31764318E-02
   7.20028801E-04  5.90077448E-03  6.68713144E-02
   7.60030401E-04  6.57329632E-03  7.05625370E-02
   8.00032001E-04  7.28187533E-03  7.42498974E-02
   8.40033601E-04  8.02646496E-03  7.79331938E-02
   8.80035201E-04  8.80701627E-03  8.16122247E-02
   9.20036801E-04  9.62347797E-03  8.52867887E-02
   9.60038402E-04  1.04757964E-02  8.89566846E-02
   1.00004000E-03  1.13639156E-02  9.26217116E-02
   1.04004160E-03  1.22877771E-02  9.62816690E-02
   1.08004320E-03  1.32473202E-02  9.99363567E-02
   1.12004480E-03  1.42424818E-02  1.03585574E-01
   1.16004640E-03  1.52731966E-02  1.07229123E-01
   1.20004800E-03  1.63393967E-02  1.10866802E-01
   1.24004960E-03  1.74410121E-02  1.14498413E-01
   1.28005120E-03  1.85779703E-02  1.18123757E-01
   1.32005280E-03  1.97501966E-02  1.21742636E-01
   1.36005440E-03  2.09576139E-02  1.25354851E-01
   1.40005600E-03  2.22001427E-02  1.28960205E-01
   1.44005760E-03  2.34777014E-02  1.32558501E-01
   1.48005920E-03  2.47902058E-02  1.36149541E-01
   1.52006080E-03  2.61375697E-02  1.39733130E-01
   1.56006240E-03  2.75197045E-02  1.43309070E-01
   1.60006400E-03  2.89365191E-02  1.46877167E-01
   1.64006560E-03  3.03879204E-02  1.50437224E-01
   1.68006720E-03  3.18738128E-02  1.53989048E-01
   1.72006880E-03  3.33940986E-02  1.57532443E-01
   1.76007040E-03  3.49486776E-02  1.61067215E-01
   1.80007200E-03  3.65374476E-02  1.64593172E-01
   1.84007360E-03  3.81603039E-02  1.68110121E-01
   1.88007520E-03  3.98171398E-02  1.71617868E-01
   1.92007680E-03  4.15078460E-02  1.75116221E-01
   1.96007840E-03  4.32323113E-02  1.78604990E-01
   2.00008000E-03  4.49904220E-02  1.82083984E-01
   2.04008160E-03  4.67820624E-02  1.85553011E-01
   2.08008320E-03  4.86071144E-02  1.89011882E-01
   2.12008480E-03  5.04654578E-02  1.92460408E-01
   2.16008640E-03  5.23569701E-02  1.95898400E-01
   2.20008800E-03  5.42815266E-02  1.99325670E-01
   2.24008960E-03  5.62390006E-02  2.02742029E-01
   2.28009120E-03  5.82292629E-02  2.06147292E-01
   2.32009280E-03  6.02521823E-02  2.09541272E-01
   2.36009440E-03  6.23076254E-02  2.12923783E-01
   2.40009600E-03  6.43954568E-02  2.16294640E-01
   2.44009760E-03  6.65155386E-02  2.19653659E-01
   2.48009920E-03  6.86677310E-02  2.23000654E-01
   2.52010080E-03  7.08518920E-02  2.26335445E-01
   2.56010240E-03  7.30678775E-02  2.29657847E-01
   2.60010400E-03  7.53155412E-02  2.32967679E-01
   2.64010560E-03  7.75947348E-02  2.36264760E-01
   2.68010720E-03  7.99053077E-02  2.39548909E-01
   2.72010880E-03  8.22471074E-02  2.42819947E-01
   2.76011040E-03  8.46199793E-02  2.46077695E-01
   2.80011200E-03  8.70237665E-02  2.49321974E-01
   2.84011360E-03  8.94583104E-02  2.52552607E-01
   2.88011520E-03  9.19234500E-02  2.55769416E-01
   2.92011680E-03  9.44190223E-02  2.58972226E-01
   2.96011840E-03  9.69448626E-02  2.62160862E-01
   3.00012000E-03  9.95008036E-02  2.65335149E-01
   3.04012160E-03  1.02086677E-01  2.68494913E-01
   3.08012320E-03  1.04702310E-01  2.71639982E-01
   3.12012480E-03  1.07347532E-01  2.74770182E-01
   3.16012641E-03  1.10022166E-01  2.77885344E-01
   3.20012801E-03  1.12726036E-01  2.80985296E-01
   3.24012961E-03  1.15458963E-01  2.84069868E-01
   3.28013121E-03  1.18220766E-01  2.87138893E-01
   3.32013281E-03  1.21011261E-01  2.90192201E-01
   3.36013441E-03  1.23830265E-01  2.93229626E-01
   3.40013601E-03  1.26677591E-01  2.96251001E-01
   3.44013761E-03  1.29553049E-01  2.99256162E-01
   3.48013921E-03  1.32456449E-01  3.02244943E-01
   3.52014081E-03  1.35387599E-01  3.05217182E-01
   3.56014241E-03  1.38346304E-01  3.08172714E-01
   3.60014401E-03  1.41332369E-01  3.11111380E-01
   3.64014561E-03  1.44345594E-01  3.14033017E-01
   3.68014721E-03  1.47385781E-01  3.16937466E-01
   3.72014881E-03  1.50452727E-01  3.19824568E-01
   3.76015041E-03  1.53546229E-01  3.22694164E-01
   3.80015201E-03  1.56666081E-01  3.25546099E-01
   3.84015361E-03  1.59812076E-01  3.28380215E-01
   3.88015521E-03  1.62984006E-01  3.31196358E-01
   3.92015681E-03  1.66181659E-01  3.33994373E-01
   3.96015841E-03  1.69404822E-01  3.36774108E-01
   4.00016001E-03  1.72653283E-01  3.39535409E-01
   4.04016161E-03  1.75926824E-01  3.42278127E-01
   4.08016321E-03  1.79225227E-01  3.45002111E-01
   4.12016481E-03  1.82548274E-01  3.47707211E-01
   4.16016641E-03  1.85895744E-01  3.50393280E-01
   4.20016801E-03  1.89267412E-01  3.53060171E-01
   4.24016961E-03  1.92663055E-01  3.55707738E-01
   4.28017121E-03  1.96082447E-01  3.58335835E-01
   4.32017281E-03  1.99525360E-01  3.60944320E-01
   4.36017441E-03  2.02991563E-01  3.63533049E-01
   4.40017601E-03  2.06480827E-01  3.66101880E-01
   4.44017761E-03  2.09992919E-01  3.68650673E-01
   4.48017921E-03  2.13527603E-01  3.71179289E-01
   4.52018081E-03  2.17084645E-01  3.73687589E-01
   4.56018241E-03  2.20663807E-01  3.76175435E-01
   4.60018401E-03  2.24264849E-01  3.78642692E-01
   4.64018561E-03  2.27887532E-01  3.81089225E-01
   4.68018721E-03  2.31531613E-01  3.83514899E-01
   4.72018881E-03  2.35196848E-01  3.85919582E-01
   4.76019041E-03  2.38882994E-01  3.88303143E-01
   4.80019201E-03  2.42589802E-01  3.90665450E-01
   4.84019361E-03  2.46317025E-01  3.93006374E-01
   4.88019521E-03  2.50064414E-01  3.95325788E-01
   4.92019681E-03  2.53831718E-01  3.97623565E-01
   4.96019841E-03  2.57618684E-01  3.99899578E-01
   5.00020001E-03  2.61425058E-01  4.02153703E-01
   5.04020161E-03  2.65250586E-01  4.04385817E-01
   5.08020321E-03  2.69095011E-01  4.06595797E-01
