 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 1.363460E+03, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift=-5.801588835574499E+00  (ETA=-1.129923E+00)
 #      Matching radius: RAD(   54)= 2.120084803392100E-03
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.00016001E-05  1.00198830E-02 -2.14403143E-03
   8.00032001E-05  1.88146240E-02 -4.03203766E-03
   1.20004800E-04  2.71704208E-02 -5.83158577E-03
   1.60006400E-04  3.52378241E-02 -7.57462923E-03
   2.00008000E-04  4.30862364E-02 -9.27584717E-03
   2.40009600E-04  5.07557750E-02 -1.09436943E-02
   2.80011200E-04  5.82725998E-02 -1.25836633E-02
   3.20012801E-04  6.56551228E-02 -1.41996050E-02
   3.60014401E-04  7.29170102E-02 -1.57943659E-02
   4.00016001E-04  8.00688107E-02 -1.73701341E-02
   4.40017601E-04  8.71189166E-02 -1.89286423E-02
   4.80019201E-04  9.40741663E-02 -2.04712963E-02
   5.20020801E-04  1.00940242E-01 -2.19992584E-02
   5.60022401E-04  1.07721945E-01 -2.35135055E-02
   6.00024001E-04  1.14423382E-01 -2.50148698E-02
   6.40025601E-04  1.21048116E-01 -2.65040686E-02
   6.80027201E-04  1.27599261E-01 -2.79817259E-02
   7.20028801E-04  1.34079570E-01 -2.94483900E-02
   7.60030401E-04  1.40491491E-01 -3.09045460E-02
   8.00032001E-04  1.46837219E-01 -3.23506259E-02
   8.40033601E-04  1.53118734E-01 -3.37870173E-02
   8.80035201E-04  1.59337832E-01 -3.52140691E-02
   9.20036801E-04  1.65496148E-01 -3.66320979E-02
   9.60038402E-04  1.71595183E-01 -3.80413912E-02
   1.00004000E-03  1.77636314E-01 -3.94422120E-02
   1.04004160E-03  1.83620814E-01 -4.08348015E-02
   1.08004320E-03  1.89549864E-01 -4.22193816E-02
   1.12004480E-03  1.95424560E-01 -4.35961570E-02
   1.16004640E-03  2.01245925E-01 -4.49653175E-02
   1.20004800E-03  2.07014915E-01 -4.63270392E-02
   1.24004960E-03  2.12732428E-01 -4.76814860E-02
   1.28005120E-03  2.18399306E-01 -4.90288108E-02
   1.32005280E-03  2.24016346E-01 -5.03691566E-02
   1.36005440E-03  2.29584296E-01 -5.17026575E-02
   1.40005600E-03  2.35103868E-01 -5.30294393E-02
   1.44005760E-03  2.40575734E-01 -5.43496203E-02
   1.48005920E-03  2.46000535E-01 -5.56633119E-02
   1.52006080E-03  2.51378878E-01 -5.69706195E-02
