 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 2.547518E+02, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift=-3.074611872627431E-01  (ETA=-2.506100E+00)
 #      Matching radius: RAD(  139)= 5.520220808832400E-03
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   4.12016481E-03  3.38651462E-01 -8.05687950E-02
   4.16016641E-03  3.40721688E-01 -8.11539852E-02
   4.20016801E-03  3.42774562E-01 -8.17364453E-02
   4.24016961E-03  3.44810169E-01 -8.23161877E-02
   4.28017121E-03  3.46828590E-01 -8.28932241E-02
   4.32017281E-03  3.48829908E-01 -8.34675666E-02
   4.36017441E-03  3.50814202E-01 -8.40392267E-02
   4.40017601E-03  3.52781553E-01 -8.46082159E-02
   4.44017761E-03  3.54732039E-01 -8.51745455E-02
   4.48017921E-03  3.56665740E-01 -8.57382268E-02
   4.52018081E-03  3.58582732E-01 -8.62992709E-02
   4.56018241E-03  3.60483091E-01 -8.68576886E-02
   4.60018401E-03  3.62366895E-01 -8.74134908E-02
   4.64018561E-03  3.64234218E-01 -8.79666881E-02
   4.68018721E-03  3.66085135E-01 -8.85172910E-02
   4.72018881E-03  3.67919719E-01 -8.90653099E-02
   4.76019041E-03  3.69738044E-01 -8.96107551E-02
   4.80019201E-03  3.71540183E-01 -9.01536368E-02
   4.84019361E-03  3.73326206E-01 -9.06939649E-02
   4.88019521E-03  3.75096186E-01 -9.12317496E-02
   4.92019681E-03  3.76850193E-01 -9.17670004E-02
   4.96019841E-03  3.78588297E-01 -9.22997272E-02
   5.00020001E-03  3.80310567E-01 -9.28299396E-02
   5.04020161E-03  3.82017072E-01 -9.33576471E-02
   5.08020321E-03  3.83707881E-01 -9.38828589E-02
   5.12020481E-03  3.85383060E-01 -9.44055846E-02
   5.16020641E-03  3.87042679E-01 -9.49258332E-02
   5.20020801E-03  3.88686802E-01 -9.54436138E-02
   5.24020961E-03  3.90315496E-01 -9.59589356E-02
   5.28021121E-03  3.91928826E-01 -9.64718073E-02
   5.32021281E-03  3.93526859E-01 -9.69822379E-02
   5.36021441E-03  3.95109657E-01 -9.74902361E-02
   5.40021601E-03  3.96677286E-01 -9.79958105E-02
   5.44021761E-03  3.98229810E-01 -9.84989697E-02
   5.48021921E-03  3.99767290E-01 -9.89997223E-02
   5.52022081E-03  4.01289790E-01 -9.94980766E-02
   5.56022241E-03  4.02797372E-01 -9.99940409E-02
   5.60022401E-03  4.04290098E-01 -1.00487624E-01
   5.64022561E-03  4.05768029E-01 -1.00978833E-01
   5.68022721E-03  4.07231227E-01 -1.01467677E-01
   5.72022881E-03  4.08679751E-01 -1.01954164E-01
   5.76023041E-03  4.10113663E-01 -1.02438301E-01
   5.80023201E-03  4.11533021E-01 -1.02920097E-01
   5.84023361E-03  4.12937884E-01 -1.03399559E-01
   5.88023521E-03  4.14328313E-01 -1.03876696E-01
   5.92023681E-03  4.15704365E-01 -1.04351514E-01
   5.96023841E-03  4.17066099E-01 -1.04824022E-01
   6.00024001E-03  4.18413572E-01 -1.05294227E-01
   6.04024161E-03  4.19746841E-01 -1.05762137E-01
   6.08024321E-03  4.21065965E-01 -1.06227758E-01
   6.12024481E-03  4.22370999E-01 -1.06691100E-01
   6.16024641E-03  4.23662000E-01 -1.07152168E-01
   6.20024801E-03  4.24939024E-01 -1.07610970E-01
   6.24024961E-03  4.26202127E-01 -1.08067513E-01
   6.28025121E-03  4.27451364E-01 -1.08521805E-01
   6.32025281E-03  4.28686789E-01 -1.08973853E-01
   6.36025441E-03  4.29908459E-01 -1.09423663E-01
   6.40025601E-03  4.31116426E-01 -1.09871243E-01
   6.44025761E-03  4.32310746E-01 -1.10316599E-01
   6.48025921E-03  4.33491472E-01 -1.10759740E-01
   6.52026081E-03  4.34658657E-01 -1.11200670E-01
   6.56026241E-03  4.35812354E-01 -1.11639398E-01
   6.60026401E-03  4.36952617E-01 -1.12075929E-01
   6.64026561E-03  4.38079498E-01 -1.12510272E-01
   6.68026721E-03  4.39193050E-01 -1.12942431E-01
   6.72026881E-03  4.40293323E-01 -1.13372415E-01
   6.76027041E-03  4.41380371E-01 -1.13800229E-01
   6.80027201E-03  4.42454244E-01 -1.14225881E-01
   6.84027361E-03  4.43514994E-01 -1.14649375E-01
   6.88027521E-03  4.44562672E-01 -1.15070720E-01
   6.92027681E-03  4.45597327E-01 -1.15489921E-01
   6.96027841E-03  4.46619012E-01 -1.15906986E-01
   7.00028001E-03  4.47627775E-01 -1.16321919E-01
   7.04028161E-03  4.48623667E-01 -1.16734727E-01
   7.08028321E-03  4.49606737E-01 -1.17145417E-01
   7.12028481E-03  4.50577035E-01 -1.17553995E-01
   7.16028641E-03  4.51534609E-01 -1.17960467E-01
   7.20028801E-03  4.52479509E-01 -1.18364839E-01
   7.24028961E-03  4.53411784E-01 -1.18767117E-01
   7.28029121E-03  4.54331482E-01 -1.19167308E-01
   7.32029281E-03  4.55238650E-01 -1.19565416E-01
   7.36029441E-03  4.56133337E-01 -1.19961449E-01
   7.40029601E-03  4.57015592E-01 -1.20355413E-01
   7.44029761E-03  4.57885460E-01 -1.20747312E-01
   7.48029921E-03  4.58742990E-01 -1.21137153E-01
   7.52030081E-03  4.59588228E-01 -1.21524942E-01
   7.56030241E-03  4.60421222E-01 -1.21910685E-01
   7.60030401E-03  4.61242018E-01 -1.22294387E-01
   7.64030561E-03  4.62050662E-01 -1.22676054E-01
   7.68030721E-03  4.62847201E-01 -1.23055692E-01
   7.72030881E-03  4.63631681E-01 -1.23433306E-01
   7.76031041E-03  4.64404148E-01 -1.23808903E-01
   7.80031201E-03  4.65164646E-01 -1.24182488E-01
   7.84031361E-03  4.65913222E-01 -1.24554065E-01
   7.88031521E-03  4.66649922E-01 -1.24923642E-01
   7.92031681E-03  4.67374788E-01 -1.25291224E-01
   7.96031841E-03  4.68087868E-01 -1.25656815E-01
   8.00032001E-03  4.68789205E-01 -1.26020422E-01
   8.04032161E-03  4.69478843E-01 -1.26382050E-01
   8.08032321E-03  4.70156828E-01 -1.26741704E-01
   8.12032481E-03  4.70823203E-01 -1.27099389E-01
   8.16032641E-03  4.71478012E-01 -1.27455112E-01
   8.20032801E-03  4.72121298E-01 -1.27808877E-01
   8.24032961E-03  4.72753106E-01 -1.28160690E-01
   8.28033121E-03  4.73373478E-01 -1.28510556E-01
   8.32033281E-03  4.73982458E-01 -1.28858480E-01
   8.36033441E-03  4.74580089E-01 -1.29204468E-01
   8.40033601E-03  4.75166413E-01 -1.29548524E-01
   8.44033761E-03  4.75741474E-01 -1.29890655E-01
   8.48033921E-03  4.76305313E-01 -1.30230864E-01
   8.52034081E-03  4.76857974E-01 -1.30569158E-01
   8.56034241E-03  4.77399498E-01 -1.30905540E-01
   8.60034401E-03  4.77929927E-01 -1.31240018E-01
   8.64034561E-03  4.78449303E-01 -1.31572594E-01
   8.68034721E-03  4.78957668E-01 -1.31903275E-01
   8.72034881E-03  4.79455063E-01 -1.32232066E-01
   8.76035041E-03  4.79941530E-01 -1.32558971E-01
   8.80035201E-03  4.80417110E-01 -1.32883995E-01
   8.84035361E-03  4.80881843E-01 -1.33207144E-01
   8.88035521E-03  4.81335771E-01 -1.33528423E-01
   8.92035681E-03  4.81778935E-01 -1.33847835E-01
   8.96035841E-03  4.82211375E-01 -1.34165387E-01
   9.00036001E-03  4.82633132E-01 -1.34481083E-01
   9.04036161E-03  4.83044245E-01 -1.34794927E-01
   9.08036321E-03  4.83444755E-01 -1.35106926E-01
   9.12036481E-03  4.83834702E-01 -1.35417082E-01
   9.16036641E-03  4.84214126E-01 -1.35725403E-01
   9.20036801E-03  4.84583067E-01 -1.36031891E-01
   9.24036961E-03  4.84941563E-01 -1.36336551E-01
   9.28037121E-03  4.85289655E-01 -1.36639390E-01
   9.32037281E-03  4.85627382E-01 -1.36940410E-01
   9.36037441E-03  4.85954783E-01 -1.37239618E-01
   9.40037602E-03  4.86271897E-01 -1.37537017E-01
   9.44037762E-03  4.86578762E-01 -1.37832612E-01
   9.48037922E-03  4.86875418E-01 -1.38126408E-01
   9.52038082E-03  4.87161903E-01 -1.38418410E-01
   9.56038242E-03  4.87438256E-01 -1.38708622E-01
   9.60038402E-03  4.87704515E-01 -1.38997048E-01
   9.64038562E-03  4.87960718E-01 -1.39283693E-01
   9.68038722E-03  4.88206903E-01 -1.39568563E-01
   9.72038882E-03  4.88443108E-01 -1.39851660E-01
   9.76039042E-03  4.88669372E-01 -1.40132991E-01
   9.80039202E-03  4.88885731E-01 -1.40412558E-01
   9.84039362E-03  4.89092223E-01 -1.40690367E-01
   9.88039522E-03  4.89288886E-01 -1.40966423E-01
   9.92039682E-03  4.89475757E-01 -1.41240729E-01
   9.96039842E-03  4.89652873E-01 -1.41513290E-01
   1.00004000E-02  4.89820271E-01 -1.41784111E-01
   1.00404016E-02  4.89977989E-01 -1.42053196E-01
